好的，这是您要的播客音频转录内容：

[00:00:00] (开场音乐)
[05:08:74] [主播]：把时间花在他身上。
[05:09:68] [嘉宾]：时间花在他身上，注意力花在他身上，并且花在他身上的时候你的深度很多。
[05:15:28] 你不会一面干别的事情，一面跟他聊天或者怎么样。
[05:18:20] 你爱一个人的时候，你一定在洗澡的时候都会回他微信。
[05:21:00] 这是常见的爱的情况，所以我们就去做了一些这方面的调查。
[05:25:70] 中国人对家人的陪伴的时间从2008年开始到2018年其实是一直在上涨的。
[05:32:00] 2008年的时候当时23分钟，2018年到了53分钟。
[05:35:79] [主播]：这个几十分钟指的是每周还是每天？
[05:37:71] [嘉宾]：每天每天。
[05:38:64] [主播]：每天。
[05:39:00] [嘉宾]：与家人的交流时间。
[05:40:70] 然后从2018年到现在又降回了30分钟。
[05:44:00] 就是所有的交流类的陪伴类的数据，这个数据是国家统计局的数据。
[05:48:65] [主播]：因为我觉得就是996这件事情好像是在这些年它受到了社会的话语的认可。
[05:57:00] 因为一开始的时候大家还是挺觉得你不太行，而且已经这个是比较少数的大厂才执行的文化，并且你是有回报的。
[06:05:00] 就是狼性文化是有高新回报的，然后所以我觉得那个时候它不是一个泛社会化的被广泛接受的社会模式，现在我觉得是。
[06:12:00] 就是几乎所有的公司都受它影响。
[06:14:49] [嘉宾]：你的洞察非常的敏锐。
[06:15:70] [主播]：啊真的吗？
[06:16:16] [嘉宾]：这是一个非常重要的原因，就是从2005年到2015年，中国的人均工作时长一直在减少，每周的工作时长。
[06:25:47] [主播]：啊，曾经有这样好的日子。
[06:26:54] [嘉宾]：好日子。
[06:27:78] 然后在2015年的时候我们的人均工作时长一周是45个小时。
[06:32:89] [主播]：嗯，那还蛮合理的了。
[06:34:44] [嘉宾]：对，就接近一天八小时了，然后到今天2025年的时候，一周49小时，涨了四个小时。
[06:41:40] 四个小时我这样一说，一周多四个小时好像也还好。
[06:44:60] [主播]：嗯。
[06:44:98] [嘉宾]：但是一周多四个小时就意味着一年多了182个小时，这就意味着大概20多天。
[06:50:57] [主播]：20多天的工作日。
[06:51:30] [嘉宾]：20多天的工作日，这就是一个月的时间。
[06:53:30] 我们从2015年到现在十年时间，中国人的每一年要多工一个月。
[06:58:85] [主播]：太伟大了，我们生活活出了一年13个月。
[07:01:83] [嘉宾]：对。
[07:02:18] [主播]：其实你一周四个小时已经很可怕了，你想像看平均下来工作日就是每天要多将近一个小时呢。
[07:08:26] 整整一个小时，很多了。
[07:09:86] [嘉宾]：对啊。
[07:10:48] [嘉宾]：你这个工作日定义是五天吧？
[07:11:83] [主播]：对。
[07:12:60] [嘉宾]：他这个定义就可能会变了。
[07:14:50] [主播]：七天。
[07:14:73] [嘉宾]：一周六天。
[07:15:37] [主播]：天哪，感觉好头疼啊。
[07:16:85] [嘉宾]：对。
[07:17:80] 所以我当时看到这个数据也很惊讶，就是我以为2015年大家都已经很忙了，怎么可以在这么忙的情况下又足足多出来一个月的的工作时间。
[07:27:70] 这是第一点，就是大家的工作时间在增长，所以不得不被剥夺一些交流和陪伴的时间。
[07:34:39] [主播]：嗯。
[07:35:25] [嘉宾]：然后还有更重要的一个原因，就是这个手机的使用。
[07:39:99] [主播]：就是手机替代了我们陪伴家人的时间是吗？
[07:43:00] [嘉宾]：手机占用了我们陪伴家人的时间。
[07:45:90] 应该说手机的使用是一直在上涨，但是从2015年到现在这个上涨是非常暴力的。
[07:51:75] 大概在2017年18年的时候手机使用时间是每天163分钟。
[07:57:30] 到今天正好乘二，大概是330分钟左右。
[08:01:14] [主播]：每天用五个多小时纯用？
[08:03:97] [嘉宾]：他应该说不是手机，他叫互联网接触时间。
[08:06:50] 但是现在主要的互联网中端是手机。
[08:08:90] 所以就是中国人使用互联网的时间在过去十年，没有十年，七八年时间吧，就翻了一倍。
[08:16:35] [主播]：短视频平台是什么时候出来的？
[08:17:34] [嘉宾]：2018年。
[08:18:59] [主播]：对。
[08:18:85] [嘉宾]：非常敏锐。
[08:19:69] [主播]：OK。
[08:20:00] [嘉宾]：对，非常敏锐。
[08:20:96] [主播]：我感觉好像抖音就是2018年。
[08:22:37] [嘉宾]：2018年。
[08:22:78] [主播]：很火。
[08:23:45] [嘉宾]：OK OK。
[08:24:26] [嘉宾]：快手抖音，这个时间的崛起是在所有的巨头都已经布局好站位之后突然多了一整块的手机使用时间。
[08:32:76] 现在抖音是全民使用频率最高的APP之一，它的突然崛起实际上在大家原本的手机使用之外额外又增加了好几个小时的时间。
[08:42:75] 这块极大的占据了两块时间，一个是陪伴家人时间，另外一个是睡眠。
[08:48:00] 中国的人均睡眠在过去的几年降了非常多。
[08:51:50] 大概每一个人平均都降了大几十分钟，将近一个小时。
[08:55:10] [主播]：这是慢性自杀吗？
[08:56:00] [嘉宾]：对。
[08:56:29] [主播]：大家挤出时间来刷短视频。
[08:59:10] 刚刚温老师讲这个数据就是说我就在想，本来每个人每天的清醒时间也没有很长，然后你又有一个五个多小时的时间纯享手机，就手机是本体。
[09:09:00] 而且现在真的你知道马路上大部分人都在刷手机，边刷边走，也不看路。
[09:15:00] [嘉宾]：对。
[09:15:38] [嘉宾]：然后其实你跟家人在一起，哪怕在吃饭沟通的时候有说也在看手机。
[09:19:80] [主播]：天哪，很可怕的一个数据。
[09:21:49] [嘉宾]：但是它非常真实啊，你看你去餐厅吃饭，不管是夫妻啊，还是一家三口，大家都是各玩各的手机，给小孩iPad。
[09:30:46] [嘉宾]：而且这里还有一点，占据我们生命时长的很重要的一个因素是2015年16年之后的房价的突然飙升，导致职住分离的现象越来越严重。
[09:41:00] 就大家住的离公司越来越远，然后你会有大量的时间花在通勤上面。
[09:45:50] 而且很多这样的通勤，在车辆普及之后，它不再是以前的七个小电动车或者七个自行车15分钟20分钟上班。
[09:54:00] 那个时间感觉那个距离还是友好的，但后面由于有车了，或者这个由于住的远了，所以你很多的时间就花在了交通上面。
[10:02:00] 大家东一块西一块的时间最终占据的消耗的就是我们与家人的交流和这个参与到社会互动当中的时间。
[10:11:47] [主播]：都不用说和家人的交流了，你去约会就觉得没有力气没有时间。
[10:15:68] [主播]：那我感觉就是我们一直在被，我们就像一个养料桶一样，一直被吸养料呀。
[10:20:00] 你看那个工作增加了一个小时，那肯定是资本主义榨取了对吧。
[10:23:80] [嘉宾]：额外贡献。
[10:24:26] [主播]：额外贡献给资本家了。
[10:26:70] 那你说的这个手机的时间必然也是背后是资本家，那不就是说是各平台吗？
[10:31:85] 资本家这个范围比较泛嘛，我们说的不是对吧，狭义的资本家是很多，全部的这些怎么说呢系统吧，系统。
[10:37:94] [嘉宾]：对。
[10:38:50] 然后我们还观察到一些现象，就是现在所有的这种互动比较多的社交活动都在减少。
[10:45:65] 比如说KTV。
[10:47:00] [主播]：KTV已经没有了。
[10:47:78] [嘉宾]：对。
[10:48:38] [主播]：对，而且你很难想象，因为现在KTV已经没有了之后，你再对比回去想像，我很难想像我当年居然能够花这么多的时间在KTV。
[10:56:59] [嘉宾]：唱K。
[10:56:88] [主播]：很难想像，你很难想像一个社交活动在同一个城市，你居然能够唱一个晚上。
[11:01:20] 你说八九点钟就已经进房了，一直唱到第二天早上四五点钟。
[11:05:00] 就是大家在一起能够花这么长时间在一起。
[11:07:65] [嘉宾]：对啊，这写一个非常非常深度的社调场合。
[11:10:00] 你跟你的朋友去吵闹，嬉戏，这些都是本来动物天性非常需要的东西。
[11:15:90] 但是像这样的场景消失之后，实际上你没有更新的场景去承接。
[11:20:40] 你现在想一个比如说十人的场景，你去做这样的交互，还蛮难的，就蛮少的。
[11:26:47] [主播]：现在感觉很难组一个这样的局了。
[11:28:70] [嘉宾]：嗯。
[11:29:50] [嘉宾]：然后你像包括电影其实也是。
[11:31:60] 中国的电影产业的总市值已经低于短剧了。
[11:35:67] [主播]：嗯。
[11:36:08] [嘉宾]：还没这个大家手机上卡短剧的时间。
[11:38:00] [主播]：我最不能理解，短剧杀疯了。
[11:40:00] [嘉宾]：对。
[11:40:70] 们原本需要社交的，原本需要共同参与的活动现在逐渐都碎片化变成原子的个体自己在完成。
[11:47:40] 所以爱的总量实际上在我们看来是在非常快速的枯竭。
[11:52:50] [主播]：因为爱的基础是我们要花长度跟深度的时间在一起嘛，对吧，这是前提条件。
[11:57:00] 如果这个前提条件已经没有的话，怪不得哇。
[12:00:27] 清楚，所以我们缺爱。
[12:02:29] [嘉宾]：对。
[12:02:44] 所以现在有很多去补充爱的活动。
[12:06:14] [主播]：比如说呢？
[12:07:30] [嘉宾]：比如说情绪类消费啊。
[12:08:70] [主播]：盲盒。
[12:09:68] [主播]：哦，我懂了。
[12:10:48] [主播]：谷子经济。
[12:11:79] [嘉宾]：对。
[12:12:00] [嘉宾]：这个我稍微说一下，这个我们原本以为情绪消费就是盲盒，就是谷子类消费。
[12:17:50] 后来我们去查了数据，就是盲盒类的一年的市值大概是500亿左右。
[12:21:60] 我就随口问了一下我们的研究的同学，我就说足疗和按摩大概是一个什么样市值规模。
[12:28:00] 因为这两个活动其实里面有很大一部分是你跟按摩师或者做spa的人去交流对吧？
[12:33:63] [主播]：对。
[12:34:39] [嘉宾]：结果一查，2025年艾瑞咨询给的数据是7000亿的市值。
[12:38:62] [主播]：什么7000亿的市值？
[12:39:60] [嘉宾]：7000亿的市值。
[12:41:00] [主播]：正眼员这么厉害吗？
[12:41:88] [嘉宾]：正眼员一家现在就，现在就一万多家店了。
[12:45:00] 他现在就是相当于按摩界的密雪冰城。
[12:48:19] [主播]：哇。
[12:49:50] [主播]：哎，但是盲盒你指的是就是这种潮玩的吗？
[12:54:55] [嘉宾]：所有的盲盒加起来。
[12:55:60] [主播]：因为我好像知道腾讯的游戏王者荣耀的年收入应该是两三百个亿。
[13:02:59] [嘉宾]：对。
[13:03:00] [主播]：一款游戏的收入就是两三百个亿。
[13:04:00] [嘉宾]：对，游戏是另外一个，游戏是另外一个巨大的市场。
[13:05:43] [主播]：对对对对。
[13:06:00] [嘉宾]：对，另外一个市场。
[13:08:92] [嘉宾]：但是我们调查的更多的是2024和2025年是游戏陪玩行业的一个爆发的。
[13:15:00] [主播]：对对对对对对，我感受到了，我感受到了。
[13:18:00] [嘉宾]：很多人现在开始去点游戏陪玩，为什么？
[13:20:70] 因为他需要交流。
[13:21:80] 我不光是要玩那个游戏，我其实需要一个人陪我玩，然后我现在找不到一个人来陪我玩。
[13:28:00] 在以前网吧一开，大家就连坐着玩就完了。
[13:31:37] [主播]：而且我觉得短短两三年前，其实玩这种游戏的陪玩也不是特别的大吧，因为其实大家的朋友还是能够凑到一起的。
[13:39:00] [嘉宾]：对。
[13:39:69] 然后我们就发现这个游戏整个陪玩行业的崛起的速度是一个效率非常非常陡，前景非常非常光明那个市场，因为大家对于这种情感消费的诉求非常的猛烈。
[13:51:00] 我再收回来说一下那个足疗的事情。
[13:53:50] 我们查到这个中国人足疗按摩一年的消费其实是猪肉消费的两倍。
[13:58:90] 就是我们当时对这个数据震惊到就是说不出来话就是，最后得出的结论是真正的亲密消费不是拉布布，而是拉手手。
[14:07:00] [主播]：拉手手。
[14:07:95] [嘉宾]：拉手手。
[14:08:33] [主播]：按手手。
[14:09:08] [嘉宾]：按脚脚。
[14:09:77] [主播]：按脚脚，按手手。
[14:11:30] [嘉宾]：对对对。
[14:11:93] 按摩里面有很大的一部分就是你被人接触。
[14:15:98] 它代替拥抱，代替。
[14:17:00] [主播]：皮肤接触其实是。
[14:17:84] [嘉宾]：代替这种亲密接触，代替体感上的互动。
[14:22:15] [主播]：明白。
[14:23:59] [主播]：而且就是我因为我本人不是一个按摩爱好者，但是我有几个朋友他是疯狂的按摩爱好者。
[14:30:00] 隔一段时间他就一定要去按，我觉得他们其实不光光是可求这种触碰，我觉得他们其实很紧张很焦虑的人，他有一点躯体化，就是身体很紧张。
[14:40:00] 他们就是非常确实非常需要这个按摩。
[14:42:60] [嘉宾]：对。
[14:42:99] [主播]：对，他需要一些外力帮助他放松，尤其是一些人的这样的一个福，而且整体的体验又很好，又觉得自己一个小时两个小时过会又香香的，软软的。
[14:52:16] [嘉宾]：嗯。
[14:52:95] [嘉宾]：现在东北已经有学校开沐浴专业了。
[14:56:56] [主播]：啥是沐浴专业？
[14:57:48] [嘉宾]：就是。
[14:57:90] [主播]：搓澡专业吗？
[14:58:65] [嘉宾]：搓澡专业。
[14:59:16] [主播]：我们东北早应该开啊。
[15:00:80] [嘉宾]：刚开刚开。
[15:01:30] [主播]：技术学校是不是？
[15:02:64] [嘉宾]：我忘了是一个职业学校还是一个正经的大学。
[15:06:50] [主播]：哦。
[15:07:00] [嘉宾]：但是已经就是真实的有这样的一个专业了。
[15:09:00] [主播]：挺好的。
[15:09:80] [嘉宾]：对。
[15:10:04] 这个市场也是一个蓬勃发展，就是现在。
[15:11:80] [主播]：搓澡也是吗？不是已经早就渗透了吗？
[15:14:30] [主播]：对，其实东北澡堂。
[15:15:83] [嘉宾]：东北是已经渗透了，但是相关产业其实在南方现在发展的非常快。
[15:20:40] [主播]：真的吗？
[15:20:88] [主播]：南方也接受搓澡文化吗？
[15:23:25] [嘉宾]：非常非常快，就是大家其实享受的是那种进到一个洗浴中心里面，然后你可以在里面有几个小时的时间去完全隔离于你现在的生活。
[15:32:40] [主播]：你干啥都行。
[15:32:82] [主播]：就在里面坐着里面喝喝茶，吃吃水果，聊聊天啊。
[15:35:95] [嘉宾]：对，各种自助。
[15:36:90] [主播]：对。
[15:37:67] [嘉宾]：它实际上也就是追求的当下这种孤独生活的隔离，然后去一个有人气一点的地方产生一些这种感受上面的提升吧。
[15:46:50] [主播]：可是和一个具体的人发生一些关联，大家成为朋友，然后投入一些亲密关系就这么难吗？
[15:54:30] 一定要诉诸于这些碎片化的服务吗？
[15:57:47] [嘉宾]：对，现在大家就花钱解决，陪玩也好，。
[16:00:46] [主播]：确定性比较强。
[16:01:30] [嘉宾]：因为难吧，还是难。
[16:04:10] 我不知道是因为什么阻止了现在大家就是把这种原始的本能给压抑了。
[16:09:40] [主播]：我觉得其实很累是一个原因。
[16:11:66] [嘉宾]：嗯。
[16:12:20] [主播]：因为你第一你也没有时间，然后你有限的时间你还要做很多的事情，你很累，然后你没有多余的精力去互动，因为互动是需要有责任的嘛。
[16:19:80] [嘉宾]：对。
[16:20:00] [主播]：对吧，你不能只从别人那里得到情绪价值，你要给出，但是你花钱吧，你就是一个纯粹的接受者。
[16:26:00] [主播]：对，陪玩一定能把你哄得好好的。
[16:27:00] [嘉宾]：陪玩一定能给你哄的好好的。
[16:29:85] [主播]：刷短视频的时候，其实我经常能刷到，我之所以在刚才频繁点头，我说这个趋势很明显是因为我刷到很频繁。
[16:36:70] 以为我以前是刷不到这些视频的，现在你就是你明显能够刷到。
[16:40:00] [嘉宾]：就是他会猜你可能需要。
[16:42:50] [主播]：嗯，因为我曾经我大概两三年前我玩过王者荣耀，所以他可能就是一直会给我推一些游戏相关的。
[16:49:00] 通常那就是一个技术性的讲解，说他是怎么玩的对吧。
[16:52:00] 然后呢，或者说是他会录一些爆笑的场面，这是以前主流的两种游戏推给我的东西。
[16:57:40] 现在推给我的完全两种不同的东西，一种就是各种录屏我的陪玩，我点了两个陪玩，我让他们两个人互相怎么怎么样，都有一点像短剧了，你知道吗？
[17:05:80] 就是大家绞尽脑汁。
[17:07:00] [嘉宾]：其实也有点像现在大家更流行磕CP，相比较自己谈恋爱。
[17:11:55] [主播]：对，就是他反正是有很多玩法。
[17:13:60] 然后这个是一种视频，另外一种视频呢，仍然是游戏讲解视频，但是我非常震惊的发现，它已经走向了南模的道路，就是它是一个语音型的南模。
[17:25:00] 然后所以呢，你就会发现它的语调语音都是已经是好听的声音，过来用姐姐这个游戏，这个英雄应该是。
[17:33:00] [嘉宾]：你你懂。
[17:34:00] [主播]：好像cv声优那种感觉。
[17:35:50] [嘉宾]：对。
[17:35:88] [主播]：对，所以就是你就会发现现在出现了大量的游戏解释的视频，说姐姐我们今天来玩，这个谁谁谁与姬，然后怎么怎么。
[17:45:00] 可能我说的有点恶心，但是他的声音肯定很好听的。
[17:48:47] [主播]：你的抖音，我的抖音真是不一样。
[17:50:90] [嘉宾]：嗯。
[17:51:24] [主播]：对对对对对对，我的短视频上有非常非常多这种类容，因为我很，我确实很感兴趣就是大家现在在虚拟平台上是怎么获得情绪价值的。
[18:00:20] 所以任何跟这个东西的有关的我都刷，包括其实我也刷与C老师的那个视频。
[18:06:20] [主播]：就是用文字来cosplay你喜欢的角色。
[18:08:50] [嘉宾]：对。
[18:09:00] [主播]：就是余C老师就是说你要看大家怎么点余C老师，就是你找哪些余C老师扮演你的什么偶像，你怎么办演，你平常怎么陪伴。
[18:17:50] 余C老师不是这么说，我，就我这个变化趋势很感兴趣。
[18:21:00] [嘉宾]：姐姐不是点一个。
[18:22:20] [主播]：点一个对吧，可以可以。
[18:24:20] [嘉宾]：深入其中。
[18:25:20] [主播]：深入其中，那我先感觉一下他们到底怎么点。
[18:27:76] [主播]：对，这个也让我想起就是这几年很流行委托老师嘛，就是首先先已经很多人出去旅游，他会在当地找一个地陪。
[18:35:70] 然后呢很多就干脆就会找委托老师，然后打扮成自己喜欢的动漫人物，或者是自己的idol的样子。
[18:42:50] 就是他能给你提供确定性的情绪价值，又可以陪玩。
[18:45:67] [主播]：对，我觉得他点余C老师也是一样，就是因为我看他们扮演这个角色其实是扮演一种男朋友的角色嘛。
[18:52:00] 我看到有一些什么委托，他就会说你必须要在多少时间之内回复呀，什么的。
[18:56:80] 我其实不是很感，个人不是很感兴趣，但是你会揣测说，大家现在这种需求就是一个虚假恋爱嘛。
[19:02:00] 就跟你点游戏陪玩一样，你不用付出了，你不用在这个恋爱中有任何的真挚的，我这边的支出。
[19:08:00] 他作为一个虚拟的男朋友，他就一直不停的给我提供情绪价值就可以了。
[19:13:00] [嘉宾]：这算不算对男性的一种污秽？
[19:15:30] [主播]：我不觉得这算是对男性的污化，我觉得因为我们没有默认男性只能提供这样一种价值，或这种价值是他的主要价值。
[19:22:50] 我们非常清楚的知道这是你所产出的一种服务。
[19:25:50] [嘉宾]：非常好。
[19:26:00] 我们在做经济学量化的时候常常会被问到这个问题。
[19:30:40] 做了一个量化研究的时候，你是不是在污化某个东西，污化某个群体，污化某个职业。
[19:34:70] 我的感受是跟你一样的，就是我在量化不是在污化。
[19:38:00] [主播]：嗯。
[19:38:64] [嘉宾]：对，我的量化的原因是因为我需要更了解它，从不同的角度去分析或者看到这个群体的存在。
[19:45:40] [主播]：嗯。
[19:46:10] [嘉宾]：对，然后刚才你们说的那个情感的陪伴啊，其实我们还专门去看了男女之间的这种恋爱的差异在现在其实也是非常大了。
[19:56:40] [主播]：不，经济学还研究男女恋爱的差异吗？
[19:58:65] [嘉宾]：经济学研究一切人的行为。
[20:00:00] [主播]：对。
[20:00:20] [嘉宾]：就量化量化所有的东西。
[20:02:10] 前几天刚看了一篇论文，就是他说男性爱的快，女性爱的深。
[20:07:40] 原因是是什么呢？第一就是男性在社会的需求当中，情感需求当中其实是弱势的。
[20:14:00] 他没有除了爱情以外的足够多的情绪的出口和支撑。
[20:19:00] 就是他找到另一半谈个恋爱，这可能是他唯一的情感的诉求的或者沟通的来源，或者爱的来源。
[20:25:00] 他跟他的父母也不会讲爱，他跟他的朋友更不会讲爱。
[20:27:50] 男生两个人之间说哎呀我好爱你，我好喜欢你，就非常非常奇怪的一个场景。
[20:32:90] 男人从小各个文化当中都被要求要。
[20:36:20] [主播]：坚强。
[20:36:70] [嘉宾]：对，要坚强，然后要至少在这种情感表达上面，你得内敛，对吧，你得稳重。
[20:43:00] 所以谈恋爱成为了唯一的情感出口。
[20:45:90] 所以男性对于这个恋爱的需求其实是比女性强的。
[20:49:80] [主播]：嗯。
[20:50:50] [嘉宾]：第二个呢是在整个漫长的进化过程当中，人类为了站起来行走，原本很宽的骨盆放着就变得很窄。
[20:58:00] 导致我们的小朋友不能够在肚子里面长得很大才出来，这样的话头大才出不来。
[21:03:00] 所以必须要再未完全体的时候就出生，你看所有的动物，你像鹿啊，马啊一出生他们。
[21:08:00] [主播]：一出生都能站起来跑。
[21:09:50] [嘉宾]：对。
[21:10:40] 然后你像老虎狮子可能一年两年它一定能够自己生活了。
[21:14:00] 人类的幼崽七八岁可能才能自己去活下去。
[21:17:50] 这个是自然进化过程当中，对人类的一个很大的劣势，导致的结果就是男女之间的择偶的需求是完全不一样的。
[21:25:80] 就是女性一定要找到一个供给者。
[21:28:00] 他分娩过程和他初期的养育过程，他自己是不可以去逆使的。
[21:33:00] 所以他需要一个供给者给他提供足够的能量，让他和孩子把他的基因给传递下去。
[21:37:70] 所以他就必须要求男性忠诚。
[21:39:69] [主播]：嗯。
[21:40:00] [嘉宾]：而且这种忠诚是精神上的忠诚，就是你肉体忠诚其实在基因选择当中没有那么重要。
[21:46:00] 你只要精神足够忠诚，能把食物带回来就行了。
[21:49:00] 男性刚好相反。
[21:50:30] 男性呢，因为我的食物是有限的，所以我第一我要确保我的供给是，我一定是我的孩子。
[21:56:50] 所以他对女性的生物忠诚是很，要求很高的。
[21:59:80] [嘉宾]：你精神出轨。
[22:00:00] [主播]：我不想养别人的孩子。
[22:01:50] [嘉宾]：对，精神出轨其实还好。
[22:03:50] 你一旦生理出轨，这就意味着我可能会把我未来几年的能量给别人养的基因进行繁衍。
[22:10:00] 那这种人早就已经在进化当中消失掉了。
[22:13:00] 男性的理性的这种基因选择就变成了他要求女性更加生理忠诚。
[22:19:00] 而且呢，另外一个选择就是我尽量多的去繁衍。
[22:22:90] 因为我生一个孩子，他活下去的概率远远低于我找十个，然后不断的去生，万一呢，对吧，十个里面活两个。
[22:29:50] [主播]：就算都活，他也希望基因传的越广越好呀。
[22:33:50] [嘉宾]：对，这就是男性的基因里面带给他的最佳策略。
[22:38:00] 所以导致的结果就是实际上现在婚姻机制对男性。
[22:43:20] [主播]：婚姻是一种限制。
[22:43:80] [嘉宾]：男性需要反抗他的天性去顺应现在婚姻制度。
[22:48:47] [主播]：从进化学的角度是这样的。
[22:50:40] [嘉宾]：对。
[22:50:88] 但是这种理性的东西一般说之后就是。
[22:53:20] [主播]：你还怕这个？
[22:54:00] [嘉宾]：我。
[22:54:30] [主播]：没关系嘛，因为我们从进化学的角度是从纯生物学的角度，但是咱们毕竟是文明的人类社会，这是一个文明的。
[23:02:60] [嘉宾]：这个事情到这里啊，就是其实女性在现在婚姻当中的收益也越来越小。
[23:07:60] 所以越文明的世界，实际上女性结婚的意愿就越来越低。
[23:11:50] 我们现在看到的情况是由于随着中国的文明的程度越来越高，经济发展的越来越好。
[23:17:00] 所以我们从1990年左右的户均人口大概是四人左右。
[23:22:50] 到2020年上一次人口普查的时候只剩2.6人。
