(00:00) [音乐]
(04:53) [嘉宾] 没有，但是它会它一直在动。所以就觉得好像是被人拿走的。然后到了民房里面我们，我们就敲了人家门，人家已经睡了，他说干嘛，我说，我说我们看到我们的Apple Watch在你们这儿，然后他们说神经病，被这个东西操纵的走来走去，然后当然一晚上也没找到，最后就坐在便利店门口，买了几瓶酒嘛。我跟石君说这个就让他去吧，这个故事也跟我们写的那个找鸽子特别像。
(05:23) [嘉宾] 嗯。石君就就听了我们我跟阿毛想的那个事之后他就觉得，哎，这个挺有意思的，你们就马上开始拍吧。我说但是我们俩不知道怎么开始呀。石君就指着小迪说，你看，这个这个是摄影师，然后他刚买了一个自己的小摄影机。你们这个剧组就可以成立了。然后我就问他那第一步是什么呢？他说第一步就是把你认为合适的演员拉到你认为合适的地点，然后拿手机去试拍一次。这件是就从这彻底开始了。那从这开始之后呢，其实一周左右我们就已经启动了。
(06:01) [主播] 然后你就找到了钱赓吗？钱赓是第一主演备选吗？
(06:04) [嘉宾] 对，本来第一主演选的是张帅，因为张帅就是永远穿着那种T恤的领口是炫开的那种衣服的人。又特别的有一股劲儿，但是又特别的好像在风中就能被吹倒，我觉得挺合适的。那为了搭配张帅，就选了钱赓。最后把张帅给淘汰掉了。
(06:28) [嘉宾] 呃，因为张帅演戏太灰谐了。
(06:32) [嘉宾] 他反映很大。我记得那是一个秋冬之际的一个夜晚，有点寒冷，我们几个去吃了羊蝎子。当时就是我们试着用像刚才导演说的那种方式，感受一下如果把那个场景变成电影的场景的话，我们是会如何表现的。结果我记得当时我俩聊的很开心，但是过于兴奋，快乐跟兴奋的程度淹没了整个现场。那种表现方式有点过于夸张。
(07:03) [嘉宾] 因为我希望这个电影的各方面呈现出来的都具有双面性。人物它需要既开心又难过，然后音乐它需要既开心又难过，也不是开心嘛，我就是是温暖吧，就是他们俩之间的关系也需要既温暖但是又难过，又孤独。这个双面性钱赓是有的，但是张帅演戏的时候是没有的。
(07:34) [主播] 对，我记得之前大豆跟我聊的时候就说这个故事像是自己长出来的，最初这个电影就只有主线还有两个人的初步人设。其中一个人是和承载那个核心表达的人，这个人就是钱赓饰演的角色对不对？然后另一个可能就是辅助他的人，一个出来鼓楼的人。
(07:52) [嘉宾] 差不多，就这这两个人也是他们的生活经历就是被我们简单的设置为就是跟鼓楼去简单的做了一个挂钩嘛，一个是刚来的，然后一个是随时可能走的。
(08:09) [主播] 刚大豆也一直在说卡卡地，能解释一下卡是一种什么状态，什么怎么描述这个卡吗？
(08:18) [嘉宾] 钱赓先描述吧，我也想听听钱赓怎么描述。
(08:21) [嘉宾] 这个卡的感觉就是小的时候我在家里面看电视，那个时候的电视是需要接天线的。可能是演到正义一方要跟邪恶的一方对决的时候，非常激烈的时候，突然一阵风吹过，让这个天线摇摆了一下，突然没有信号一下，或者是画面不稳定一下。可能在那一会，我的期待是很强烈的，但是我看到的东西是波动的。然后在波动的时候之中还还有可能捕捉到一些信息，但这个信息不足以满足我，所以我可能会有一点失落，但我还是很期待。这种感觉就是卡的感觉，我理解的。
(09:03) [嘉宾] 在你的人生中不是没有希望的，就是你时不时的能看到一个希望，然后就比如说朋友说，哎，我们可以做个大事，或者说这个甲方说给你一个大活，下个月有一个非常大的活，然后一起赚钱。就是会有一些这种期待，但是呢，这些期待开始频繁的落空。这种频繁落空的感觉就会给你造成一种不知道为什么最近生活就是卡卡的这种感觉。
(09:34) [主播] 那我们接着回到了这个团队，刚刚已经提到了有监制贾石君，他是苹果手表遗失事件之后，然后进入团队的。然后他带来了摄影师小迪，他拥有一个摄影机，大豆能说一下那个摄影机是个什么样的摄影机吗？
(09:52) [嘉宾] 就是那个Red的那款女士友好的那款摄影机，比较小，叫那个Komodo。从我们的花絮里面大家也可以看到，就是因为这款摄影机不只是节省了我们的开销，而且带来了很多拍摄的顺利，比如说有一次我们进公园的时候，然后有人听说我们带着摄影机想要拦我们，但是一看我们的摄影机是一个如此迷你的像玩具一样的东西，他就说哎你们进去随便拍吧。
(10:24) [嘉宾] 简单拍呗。
(10:25) [嘉宾] 简单拍拍拍，反正也也不会咋样。
(10:29) [主播] 对，因为之前我们聊的时候大都一直强调这摄影机真的很小，但是我也没什么概念，直到我真的看到了它，就像摄影师提着它就像提着一个菠萝一样。
(10:39) [嘉宾] 对，为什么它是女士友好就是就女生可以单手去提。当时摄影师在北京，结果拍着拍着他就去上海了。整个搬到上海了。搬家的过程还特别的波折。他他挺奇怪，他当时因为他平时都是坐飞机的。但是那一次他为了把他的一小盆花给搬走，他就抱着那盆花，然后去做火车。然后就因为他坐了火车，他的前面有一个密接，然后他就被隔离了14天，就他在隔离14天的过程中我和监制我们一起去帮他收拾这个他们家的所有的东西，然后给他打包寄走。因为他经常拍广告嘛，所以他累积了很多那种飞机里程。他就拿那个拍广告的时候累积的里程，然后去兑换机票，回来拍。就是我们订了这天拍，然后他就接一个前后的活，能够帮他报销这个差旅的，然后他就回来了。
(11:46) [主播] 这个团队里面有制片吗？
(11:48) [嘉宾] 我们有执行制片，就是现场的时候会去负责的制片。大家轮流着来，因为你所有鼓楼的人制片，尤其是制片，他需要不断的去跑外地去工作，所以就是有的时候我们的拍摄凑不上他们的时间，然后就会再换一个人。
(12:11) [主播] 那制片的工作是什么？
(12:14) [嘉宾] 给大家订那个麦当劳，然后订披萨，然后晚上带大家去搓一顿。然后现场可能跟大爷大妈聊聊天。
(12:24) [嘉宾] 对，就是现场制片跟生活制片合二为一。
(12:28) [嘉宾] 呃，对，我们有一次要用那个临时换场地嘛，因为我们原来选的场地他们突然开始去建围栏，所以我们当天临时换到了对面的一个冬泳的地方。那因为要用这个地方，制片就开始跟大爷去踢球，然后以获得大爷的好感，然后让大爷允许我们在这可以拍摄。
(12:57) [主播] 记得有一场戏就是大爷在那个河里面，然后捡东西。
(13:01) [嘉宾] 那个是因为我们，我们的道具掉了，然后我们拿各种东西捞也捞不上来，就远远的看就有一个大爷就游过来了，帮我们捡东西。就人性的温暖吧。
(13:13) [主播] 我们前面说了这些主演啊，制片、摄影师、监制都有了，这电影还需要什么？需要灯光师吗？或者有没有群演？
(13:23) [嘉宾] 最开始我们拍的那些不需要群演，然后灯光我们也不需要。
(13:29) [嘉宾] 就是这六个人再加上一个制片，我们就可以开拍了。那发现还需要一个录音师，但是我们身边确实没有朋友是录音师，所以我们每次可能就换一个录音师，就是托人有没有介绍录音师，每次换一个。从头到尾的其实就是我们六个人，其他人就是在中途某一场戏的时候，他们有有空，大家就过来一块弄。如果没，的话，我们六个人，只要六个人有时间就可以拍。就是监制，两个导演，然后摄影师，然后两个演员。所以其实有的时候北京的雪是挺珍贵的。那一年我们可能赶上了这长雪，就觉得这天必须拍，如果 不拍的话，有可能今年冬天就拍不了雪了。那会有一个极端的情况，就是可能这一天很多人都没有时间。所以我们说，那只要摄影师在，两个演员在，就正常拍。导演不在也没关系。然后或者说摄影师不在也没关系，两个演员自己架的机器自己拍吧。我们会有一些极端的预设吧。那最后还好这些这些情况没有发生，但是当时是做好了准备的。
(14:43) [主播] 那大家主创们决定一块拍电影的时候，知道自己要拍一个什么东西吗？
(14:48) [嘉宾] 我知道，但是不全知道。就通常情况下我玩一个游戏的时候，我喜欢主观探索。但是跟我们这个电影的一个区别就是游戏是被人设计好的，尽管你主观探索，你也只能在一些主线或者支线或者是你用自己的游戏体验方式创造一个自己的路线。但是我们这个电影没有被设计好，所以所以我们大家把玩这个游戏总能碰到一些意想不到的收获。没准是老天设计好的这个游戏，然后让我们去体验。所以大家只是按照自己的喜好方式去去摸索自己在游戏中的角色，像我就喜欢在游戏里面捡垃圾。所有的游戏我都喜欢收集一些看似可能没有保障或是重要线索的一些垃圾，但大部分时候这些东西都是垃圾。所以有的时候，我去玩一个游戏，我可能在没有完成主线任务之前已经把所有彩蛋全收集满了，就是这种感觉。
(15:49) [主播] 我们以前总说嘛，导演就可能在一个剧组里面，他就像国王一样那样的角色，就是他最拥有话语权的，他是那个主导者。但在你们团队里面不是这样是吗？
(15:59) [嘉宾] 这个片子，它是导演的个人的表达。但是我们因为有六个人，六个人其实相当于都参与了创作。那再延展一点的话，我们的剧本创作可能有很多的鼓楼人都参与了。所以它更像是一个共创的东西，就比如说在一个小酒馆里面，可能这个人往墙上画了一幅画，然后另一个人看到了又在旁边补了一幅画。那慢慢的这个墙上的东西就越来越丰富。我们是属于这样的一个过程。我跟阿毛我们会牵头，我们会写出一个这次要拍的这个剧本。写完了之后，我们就开始想想身边哪些人比较好笑，然后就把这几个人刚好在北京的话就叫两三个人过来，我们一起去围读这个剧本。然后看哪句话不好笑，改一改，或者说大家围读的时候因为我们会喝酒嘛，喝着喝着可能蹦出来一句特别好笑的话，可能就加进去。我们的心态还是一个玩的心态，没有人想要在这件事上取得什么成就或者得到什么结果，而是大家就是觉得中间的这个过程大家很享受。这种玩是因为我们逐渐的发现就可能你不能很用力的去做一件事情。如果你很用力推一扇门，然后推不开的话，有可能这扇门就不该你推开。但是你肯定能找到一扇你自己能轻松推开的门。那这个轻松推开其实就是我们可能找到了一扇我们推起来比较轻松，在这个过程中又很有乐趣的一扇门。
(17:45) [嘉宾] 我的感受是一定要享受，就知道自己是在享受。我觉得那会儿是一个很放松的状态。无论是用这种放松的状态去表现其他的属性的情绪。本质上如果我们是放松的话，其实做其他的事情都会感觉到快乐。无论是我们想表现悲伤，用放松的方式表现悲伤，它就变成了一种治愈的过程。是这么个思路。如果用悲伤的情绪表现悲伤，可能它就会陷入到一种崩溃的状态。
(18:19) [嘉宾] 顺撇。
(18:20) [嘉宾] 对，就顺撇了。
(18:21) [主播] 电影是10月份开拍，然后大豆也可以说说电影拍了多久，电影的大框架其实是按季节分的嘛。分为七个月份，七段，然后会拍摄鼓楼的春夏秋冬，非常美，为什么这样分？
(18:38) [嘉宾] 为什么这样分是因为，让我们能够有足够的时在干中学。如果我们现在说，哎，大家一起拍个电影，然后我们要拍上个20几天，然后这20几天里大家就都干这事。那我相信可能没有人来，然后包括我自己也没有时间，我们都有自己的事。
(19:01) [嘉宾] 而且我觉得那样也会太集中了，我觉得。精力太集中的时候可能导致不放松。恰好还在那个时期。
(19:08) [嘉宾] 对，所以我们其实只是想要找一件事做，但是没有说这件事要急着做或者急着做成，而是就是找一个像那个找鸽子一样。就有一个事让大家可以聚在一起，然后大家聚在一起的时候去干点事。干一会之后大家又各自去过自己的生活，那一两个月之后我们再聚一下。这个过程中时间流逝肯定带来每个人的变化，然后每个人彼此又会带来一些新鲜感，那其实它才能成就片子中现在的这种时间流动的感觉。
(19:47) [主播] 所以这个片子断断续续有拍了一年吗？然后每次拍拍摄时间大概花了多久？
(19:54) [嘉宾] 断断续续拍了一年，大概正式拍拍了七天，还有一些补拍可能拍了两天左右。所以我们是一个很长的周期，但是我们的拍摄效率是非常高的。
(20:07) [主播] 电影里面我们也能看到各种各样的道具嘛，然后这一部分也特别好玩，就是因为我们电影这个团队没有道具组，所以道具基本上都是导演主创们自己做的。大豆来说一说那些出现在电影里面的道具的制作方法吧。
(20:24) [嘉宾] 其实好多在我们的花絮那个卡住的人里面都能看到。然后我自己比较疯的疯狂的一次就是我实在是搞不懂钓鱼佬的那一套东西。我在拍钓鱼的前一天晚上，我一直在那个视频上学习怎么把那个鱼线穿上去，然后那个鱼钩什么的，学到凌晨吧才才把那个钓鱼的东西给搞定，结果鱼竿一到现场，然后谁掰了一下就直接给掰断了，所以我们就拿了一个透明胶把鱼竿又给粘上，所以就显得非常的狼狈。但是片子中这两个人本身的设置也挺狼狈的嘛，所以也还好。
(21:06) [嘉宾] 我想我想分享一下，因为路演这么久，大家一直没有关注到其中有一个道具是确实是我捡来的。我们夏天的时候去草地上晒太阳，放置我们自己带的东西的时候，其中有一个一个一的笔划。特别有意思就是有一段时间我们被允许可以去户外的一些地方透透气。然后我就总去去离我住的地方很近的一个公园，白子湾公园。因为只有一个门口可以进入，一个门口可以可以出行。我就试着找看有没有其他的门也可以进。我就发现有一个有一个门的门口，园子中心的那根横丢了。结果我发现在下面的草丛里面发现了，它其实没有丢，它只是脱落了下。来。然后我就把那个横带回了家里边。这种就有点像我在游戏里游戏里面捡垃圾。然后捡到了一对对自己接下来剧情发展很有用的一个道具。然后回来之后也发现没太有用，我就把它摆在我工作工作室里面。结果最后出现在电影里面，其实还是有用的。
(22:12) [嘉宾] 对，就我一次我去他们工作室，然后我就拿着那个铁块我就看了好久，我说这个是什么？然后钱赓说是公园的园子的那横。
(22:21) [嘉宾] 可能互相不同频的人，当你时候这个的时候，他其实是觉得你这就是个垃圾。但是当你同频的人，你就觉得这个事情特别好笑，他甚至值得拍进电影里。所以我觉得我们刚好就是六个人，刚好就互相彼此特别懂彼此的那个笑话。所以我们就觉得钱赓捡的垃圾是一个宝贝。那如果说六个人都觉得这个垃圾是一个宝贝，那那那这个事不就成了吗？
(22:51) [主播] 哦，因为这个电影不是在找鸽子吗？然后里面还有一个关键的道具就是那个鸽子的鸟屎，就是它从电影开始就出现了。怎么制作鸟屎？
(23:04) [嘉宾] 我觉得他们这个鸟屎的质量特别好，不仅是形象逼真。就因为当时我穿的是我自己的皮鞋，然后我那个皮鞋恰好前面有一些镂空的小洞洞。当时那个鸟屎落在我的这个鞋正好渗进那个洞里面。我前几天还发现那个洞里面还有残留当时鸟屎。因为我一直没有刷那个鞋，只是擦擦一擦。
(23:28) [嘉宾] 就那场戏特别的复杂，然后那天我们是有三个制片，但是他们是轮流的参与这个项目，就是这个人在这会儿没时间，那个人在那会儿没时间，所以有了三个制片。那其中一个制片叫Mia，我们两个就一起在前一天晚上制作鸟屎。但我们最开始考虑的是用颜料，然后发现那颜料做出来特别的黄。我问钱赓，钱赓说这个鸟中毒了吧。后来我又我们又去试了一下那个牙膏。但是牙膏加上颜料也不行，然后最后再仔细的再观察了鸟屎，因为它是那种白中带棕，所以我们想了一下就从花园里就是搞了点土，然后用那个牙膏和土一起做的这个鸟屎，所以朋友们鸟屎以后以后如果你需要做鸟屎，记得要拿牙膏和泥土。
(24:26) [嘉宾] 对，或者是直接去买脉旋风，对，如果有一定资能力的话，就直接去买脉旋风。
(24:33) [嘉宾] 我们还拿了一个针管试图用针管挤出来，后来发现那个土就把针管给卡住了。
(24:39) [主播] 哦，我可以再快快跟听众们补充一下，这其他道具哈，比如还有道具荷叶，这个是防暑。为演员们新添的，荷叶是在路边割的，为了保鲜放在洗衣机里面养了一个晚上。开拍前有点蔫，然后再用针筒往里面注水了。在护城河上走，遇到了几样那个冰里面的东西是前一晚上，大家先带着暖壶往冰上浇热水，然后冰化开了之后溶了，再把那个东西放进去，在第二天再冻上再开拍的。然后还有一些什么酒标啊，这也是他们那个后续的那个片子里面有的，就是把一个酒标撕下来，粘到另一个酒瓶子上。然后还有包括一些毛裤，是鼓楼的邻居织的毛线裤，然后还有一些小狗小鸭子，那些小动物们也都是鼓楼邻居的宠物，他们友情出演的，并且他们在片尾还有自己的名字。他们叫什么来着？
(25:37) [嘉宾] 那个狗叫豆豆，反正他们各自有各自名字。造型师是我们家的狗吗？
(25:43) [主播] 为什么？
(25:44) [嘉宾] 你看别的片子都有造型师，然后造型师那栏写上去就感觉还是好一点，但我们这个片子片尾字幕就是可以写的人太少了，所以就为了扩充，就把我们家狗也写上去了。
(25:58) [主播] 它的名字是？
(25:59) [嘉宾] Baby K，显得很像一个造型师。
(26:03) [主播] 拍摄的时候，像你们拍摄不是一般都需要稳定器吗？就我记得从前可能哪怕就是很小很小的一个活，都是要有一些拍摄的时候要有那种，那叫什么来着？轨道吗？
(26:20) [嘉宾] 轨道我们没有，稳定器我们有。春天我们想拍一个要用轨道才能拍到的镜头，就是一堆人在排队，然后摄影机需要移过去，就拍他们的脚，去看到有很多人在排队。但是我们没有轨道嘛，也没有能力去搞轨道。所以当时摄影师就因为他比较年轻，他有一个天花乱坠的想法，就是把摄影机绑在这个滑板上，通过滑板的滑动去模拟轨道。这个即使被那个监制给叫停了，他就觉得这个想法太真空了。因为这样拍出来可能会很晃。
(27:01) [嘉宾] 还有一个特别荒唐的是我们想要在就钓鱼那场戏，因为他俩已经坐在河边了，那我们要拍它的时候，我们如果在对岸拍的话，就会怎么说呢，长焦。然后如果我们在这边拍的话，就会离他们特别的近。然后我们当时也是有一个天花乱坠的想法，就是想在那个河里面架一个两米的梯子。然后再借一个皮划艇，然后用这个皮划艇把摄影机和摄影师送到那个梯子上，让它在河中间拍。想法也是被监制给喊停了，然后把摄影师训了一顿，说你说你这个很有可能就导致这个拍摄中途就被叫停。所以不要去作作这种你自己控制不了的事情，包括你的摄影机掉到水里怎么办。就他也不担心摄影师掉到水里，他只担心摄影机掉到水里。最后采取了一种借位的一种妥协方式。对，但是在过程中确实是有一些很激进的想法。
(28:05) [主播] 一般谁最有这些激进的想法？
(28:07) [嘉宾] 每个人都有每个人的激进。
(28:09) [主播] 那钱赓的激进是什么？
(28:12) [嘉宾] 钱赓一直想加武打戏。
(28:14) [嘉宾] 对对，我想完成我的武侠动作片梦。
(28:18) [主播] 未遂是吗？
(28:20) [嘉宾] 嗯。对，因为发现这片子里基本上都是坐着。
(28:24) [主播] 那钱赓想回忆这部电影有没有最快乐的哪一天，说一个最快乐的，也说一个最痛苦的吧。
(28:33) [嘉宾] 最幸福的瞬间就是我们放飞球的时候。
(28:36) [主播] 嗯，在公园。
(28:37) [嘉宾] 虽然非常炎热，但是后来拍拍拍我们我就觉得这种炎热的感觉，还有我们就是大家同心协力去营造去创造的时候，的那种情感，让我感到很感动。然后包括当时你满眼能看到很多的绿色，然后蓝蓝的天空。然后红色的气球连着风筝线缓缓的升空，其实我觉得很诗意。就是因为在那之前我写了一首诗歌叫钓风筝，就是那首诗很短，就是时光如此倒流，于是水里的风筝，风筝是天上的鱼，邓直线放长，钓大风筝。我就感觉，哇，我之前写的一首诗居然在现实的生活里面能碰见。不仅是我想像出来的文字游戏的那那种那么苍白或者是那么轻浮的东西，因为他真的发生在我眼前的时候我就特别感动。身边的这些人他们也有跟我一样的想像力，他们也在用这个想像力跟我一样一起去创造。所以那会很感动，最幸福也是最快乐的时候就是那个时候。然后最痛苦的时候大概就是澡堂那场戏。他的痛苦不是心里的痛苦，是生理的痛苦。因为我们条件有限，我们为了收音所以把排风关了。排风关了就是它在这个澡堂里面的温度会会一直笼罩在那，然后会形成缺氧的感觉。科普一下，正常如果一个人去澡堂的热水池里面泡一定就是健康的人不宜超过15分钟。我们那天泡了大概几个15分钟吧。没有排风，然后空气闷热，缺氧，加上空气质量不太好。就造成了我心心脏跳的超速。突然我就觉得有可能我身体发出信号，就是我可能有点上不来气。然后我就跟大豆说，我说我可能需要歇一歇，或者是出去呼吸一下冷空气，如果再继续拍下去，我可能会死死在里面。然后那次就是痛苦到极限，然后我主动请求休息一下。其他的时候基本上没想主动放弃或主动休息，或者是觉得自己累到极限不能继续下去，没有我们那个时候，只有那一次。
(31:02) [主播] 然后我们主要来聊一聊两个主演吧。两个主演都是大豆的朋友，钱赓要不要跟大家介绍一下你演过电影吗？演电影之前你是做什么的？
(31:12) [嘉宾] 我第一次演电影是在2018年，那会去朋友的电影叫一马分宗里面客串一个书法大师。这个书法大师这个角色跟我的生活比较贴近，只不过是平常是在舞台上去表演书法，而那一次是在大荧幕里面去演书法。平时的工作是也是跟电影相关，做一些电影幕后的工作，是给电影设计平面物料，包括片名书法设计，还有一些电影里面的字卡设计。然后还有电影的各种类型的平面海报设计。因为我想搞纯艺术的话，就注定要消耗很多精力跟金钱。所以一方面我通过设计这个工作来维持生计，二一个是，通过设计工作来获得一些经验，然后辅助我进行纯艺术的表达。
(32:10) [主播] 那可以再介绍一下钱赓想要的纯艺术的表达是哪种？
(32:15) [嘉宾] 我想要的纯艺术表达是我想去探索一下书法表演的可能性。不是在一个安静的屋子里边一张平整的桌子上面拿毛笔跟宣纸用墨，然后把它写在平面里面。我想让大家看的，不只是最后的内附字，想让大家看见我书写的过程。因为我觉得书法这个东西它是一个精神力量和人体构造结合的非常神秘的，但是也，非常日常的一种表达形式。我想要让这个不一样的东西更具视觉化跟感官体验化。所以就会试图创造一种书写空间的感觉。就这，就是我想要做的。所谓的纯艺术表达，所谓的实验书法，其实它也没有很实验，大概是这样。
(33:09) [主播] 大豆，就是你，怎么选，中，钱赓，做你的主演？
(33:13) [嘉宾] 我最开始接触到钱赓就是看他的表演，就是在我们一个朋友王子恒举办的一个荒音祭上面。当时给了我特别深刻的印象，因为当时是我可能第一次接触实验音乐和艺术。当时钱赓就他是尝试的就用他的头发去当毛笔。配合的梓恒吹的那个萨克斯。根据他听到这个音乐的感受写字。对，用头写字。然后所以其实他片中也提到了这一个。当时他写出来的字是无我梦中。我觉得整个表演过程和这四个字他非常的，一体。
(34:00) [嘉宾] 为什么用头写字呢？就是可能是突然有一天我觉得其实人长得很像毛笔。我们的头发可以变成毛笔的前端的部分，毛的部分。当我突然意识到人长得像毛笔的时候，我就觉得如果解放这个东西，再把我们的视角跟控制力量的这个东西放逐到全身的时候，会不会是一种新的体验？于是我就抱的这个想法去去用头写字。我就重新理解了一个成语叫肝脑涂地。然后我就想，肝脑涂地，那不就是用用头去与地面进行一个接触。后来我就想，那我要写的文本是什么？最开始是写肝脑涂地。然后后来当时因为正在学学日语。突然发现了一个日语成语叫莫看莫久，就是中文来讲就是无我梦中。形容一个人喜欢一件事情就可以去奋不顾身，勇敢的去追逐的那种感觉。然后后来我就想啊，这可能是老天给我的一个礼物，可能是把我现在这个经历化成了类似闪光的东西，然后可能可以照照着我去看见其他的东西。
(35:12) [嘉宾] 当时我看了钱赓很多演出之后，我有跟钱赓的朋友去探讨嘛。我说你，你们觉得为什么钱赓要选择这样的一个艺术形式去表演？最后探讨的结果是就是我觉得他应该是为了对抗贫乏。所以我觉得对抗贫乏这这四个字我特别感兴趣，然后我就在思考，可能年轻人在处于某一个时间段的时候，对抗贫乏其实是他人生特别大的命题。那其实我觉得东四跟十条在这个片子里的这个阶段其实就是一个对抗贫乏的一个过程。只不错说他这种对抗没有办法往前推，但是他们也没有往后退，所以会呈现出一种好像停滞的感觉。但是从他们只言片语中你会发现他们还是在行动，在他们那个生活的A面。然后他们用这种生活的避面去缓解A面的一些不顺利，然后互相温暖。
(36:21) [主播] 那当时你找钱赓做主演的时候有跟他说这些吗？就，有说，我希望这个电影是一个什么样，你，就是你是怎么跟他沟通的？
(36:28) [嘉宾] 呃，没有，因为我找他做演员的时候，我还没有，我，我自己还不知道这个电影是怎么样子的。这些都是因为我们在整个电影那么很长的制作周期中自己慢慢梳理，然后大家慢慢讨论。其实我们对这个电影就是一个探索的过程。不是说我想清楚了一个命题，我才出发的。而是就有点像方励君说的，他说就是当你看到天上有闪电打雷的时候，然后到你脑子里能够出现电闪雷鸣这个词，之间其实是有距离的。那画家其实不是去做最后一个电闪雷鸣，这四个字不是把这四个字描绘出来，画家描绘的是这个过程。这个过程就是你看到电闪雷鸣，到你出现电闪雷鸣，这四个字中间的这一段。我觉得我们电影就是中间的这一段。
(37:27) [主播] 所以东四是条第一场戏开拍的时候有剧本吗？
(37:31) [嘉宾] 有剧本，但是我们第一场戏就只写了那一场戏嘛。我们知道那一场戏他们会在那聊这个。但是呢，我们不知道它在这场戏的前面跟后面分别经历了什么。
(37:45) [主播] 那所以就是写一场拍一场这样。
(37:48) [嘉宾] 我们一次会写一天的戏，只不错说在第一场开拍我们是一个试拍嘛，所以就写了一场戏。但是我们，我们，我们会写一天的戏以保证这一天拍出来的光线啊，天气啊，都是连贯的。如果非要说最难拍，我觉得是排队的那一场戏吧。因为那场戏很长嘛，就是，就相当于我们片子里能看到大概有七八分钟都在排队。那这七八分钟在现场呢，就是五六个小时，五个小时左右吧。那五个小时其实这么一对人一直站在那个地方，其实还是需要很强的信念感跟很多的沟通的。因为过程中可能有一，有阿姨会想要再过来晾个被子啊。那如果他晾了，这个这个事情就不成立了。对，但他也很好的，他说那我晚一点再来。那场戏反正我觉得挺挺焦虑的。那个时间比较特殊，那个时间就是20年4月份当时上海封城的那段时间。所以摄影师确实就没有来，包括北京当时就是前两天我们在勘景嘛，就每一天可能你会会发现有几个店被封上了，有点心惊胆颤吧，就是再去拍拍一个东西。
