好的，这是您所请求的播客音频的完整转录：

[00:00] （背景音乐）
[04:36] [嘉宾]：当然其实这个问题也有很多人比较好奇，我之前也都回答过一些。其实一个创作者在创作的时候吧，他是各种想法都有，而且有的可能是比较潜意识的，有的是比较直接的。一方面肯定是我现实生活中就是一个非常好的女性朋友，尤其是就是在拍完《爱情神话》的那个时候，我们就是很紧密的在一起，就是一起吃饭啊，收拾家，然后每天晚上一起睡在一起，就是聊无数的话题。然后另外一方面，其实我觉得是我的观念也有所改变。因为《爱情神话》的时候的确是一个男性视角展开的，虽然那个时候我觉得我已经是具备了女性主义的一些想法、思考啊等等。但是就像我过去有一段时间写小说吧，也总是以我这个男生是一个男人的口吻去写。我就总觉得那样写好像更舒服，或者是更幽默，更好玩。同时可以跳出一个自己的这种女性主体的身份。当我用男性视角的时候，我其实很多的注意力啊或者我的描述，的确都在女人的身上。不管是小说还是《爱情神话》都是有的。当时《爱情神话》的时候我自己包括公司也没有把它宣传成女性主义的电影。的确是有些喜爱它的朋友认为它是具备了一些女性主义的视角啊等等。但是所以又有人去抨击他说他就根本不是。其实我觉得他们说的也很有道理，因为我现在也觉得他是很欠缺的。当我创创做好东西的时候，当然其实这个过程也很波折。 最早我的确也想写《爱情神话2》的，就是真正老白、李小姐的故事，其实我都写了一半了，然后不久就赶上上海疫情吗？我就决定不再写了。然后我就想写一个新的。疫情的时候，我相信大家应该都记得，其实就是邻居之间是给予了我们最大的帮助和温暖。而且很多时候我们就是在仰仗陌生人的好心，对吧？包括当时送药啊，送吃的。当时涌现了很多很温暖、很温情，而且很感动的事情的。其实那个时候就是给我的印象很深，冲击也很大。从那个互帮互助的这种邻居身上我就觉得很感动。然后在我创作的时候，其实我想到很多，就是你说的，她们俩如果是本来就认识的，或者是这种同事，就之前是工作但是没有特别深入。这些我都是试过，甚至我都写了。其实两个陌生人开始是最难写的，因为你要花很多时间去铺垫。所以我至今都觉得我这个电影的前半段，就是铺垫的地方稍稍有点长，不如中间和后面那么精彩。但是这没办法，因为他就是他得需要很多情节点，甚至得慢慢去说两个陌生人怎么就能快速的升温。尤其是他们俩这种就是升温成了就是像亲人一般的共同育儿，其实这这个得是其实是挺大风险的。我相信有有孩子的妈妈其实是一般会对陌生人，或者没那么熟的是充满戒备的，不能随便把自己的孩子交给别人去带的。当然就是这个一开始第一次带的时候，王铁梅说过，就是我觉得我怕你带不好。这个的确就是最大的担忧。按理来说啊，像小叶这种人，你看她每天都在喝酒，而且呢又没有个正事干，又那么喜欢恋爱，她又比较像这种我们容易批判的，这种比较妹男啊等等。所以呢，你似乎觉得她带孩子是挺危险的事。我觉得王铁梅啊和当时我都是这么想的。而且我也试过她是不是带孩子出现了问题，出现了危险。但后来我决定绝对不这么做。一个电影的这种呈现吧，其实它会影响的挺深远的。你是希望她带不好，然后给大家造成的是什么感觉呢？对吧？那那作为妈妈你是不是不能再信任你的邻居啊，或者是你认可的你喜欢的女性朋友？对吧？但是如果他能做的好，那你是不是对你身边的女性会更信任一点？但实话实说，根据我自己的生活经验和我看到的很多新闻啊，包括我询问我身边的朋友，其实这是个事实嘛，就是女生带孩子他就是会更靠谱，哪怕他本来就是个不靠谱的人。所以我在情节设置上也都，其实她把孩子带的很好。就是让大家所有人都放心的。虽然可能她这种呈现嘛，我觉得她是比较失真的，或者是就是比较理想化的。但我认为这是我更想去传达的东西。
[09:23] [主播]：对。我当时看完这个电影晚上我就立刻跑去我的邻居家，因为我跟我有一对女性朋友也是邻居。我们完全就是在实践的另外一种生活，就跟电影里面的一样。就一起去买菜，然后一起做饭，然后一起吃饭，只不过晚上回到各自的家里，然后一起聊工作聊选题。我一直都觉得这种情感是很珍贵的。但是我们中间有一次争吵，就是我每次称呼她，我都跟朋友介绍我说，这是我的邻居。她就觉得为什么你总说我是邻居，不说我是你的朋友呢？
[09:54] [嘉宾]：对对对，是的。
[09:55] [主播]：然后我当时看完这个电影我就对这个纽带我就有了很深的感触。就觉得我们好像就会觉得一个女人最重要的可能是她的男性朋友或者她的家人，然后要不然就是她的女性朋友，再下来就是同事，可能再在后面才是邻居。所以我看到一部电影，它真的有这种厚度去展示这种邻居女孩之间的感觉，我就觉得非常的开心。
[10:18] [嘉宾]：真的，其实还有啊，就是因为我们现代社会的这个这个住住宅吧等等，这其实也是为什么得在上海。他他那个很多老房子吧，他这个建筑结构是不是很狭窄，就是邻居和邻居之间挨得很近。如果你住在那种就像我们电影里呈现的这种包括像老白家的那种吧，他就是容易跟邻居更紧密。其实就是像你说的，那种我也觉得我身边当然最早开始就是最重要的就是找个男朋友啊这种。我在上海那么多年并没有让我觉得就像小叶和铁梅这种绑定的女性友谊。我搬到北京之后，其实才认识的我，很爱女朋友。
[11:00] [嘉宾]：反正我是感觉看的时候，对我来说就感觉好像你在拍一个理想国。女性版的大观园。
[11:07] [嘉宾]：你这个戏实际上也，就是为什么是是这样一种弱关系，我觉得可能跟你的内心就想塑造这么一个理想国，是不是有很大关系？因为你只有弱关系才能体现你这个电影里面“girl have girl”的这样的一个
[11:22] [嘉宾]：弱关系，就是比较弱势的。
[11:25] [嘉宾]：不是，就这两个两个人，他们是个陌生的，如果是按照另外一种设定的话，他们两个人之前就是有某种现实的联系的话，他实际上是不是在在想表现的你的这种女孩与女孩之间，女人与女人之间那种，这种互相帮助，互相天然的之间能够互相理解的这样的一个关系，他实际上就会产生某种程度的消解。
[11:48] [嘉宾]：你这两个戏实际上是实际上是超级不现实的，如果真说的话。
[11:51] [嘉宾]：是的，是的。
[11:51] [嘉宾]：是非常不现实的，但是你在做这个人物关系的时候，你在用些用些生活的细节或者两个人那种情感的那种真实来把这个高度假定性给消解掉。
[12:03] [嘉宾]：我觉得梅老师真的很一针见血，比如《爱情神话》当时有很多人觉得它很真实嘛，就是我们上海人就是这么生活啊什么的。但事实上我自己觉得它真的不算真实，它肯定有真实的部分。但是整体呈现出来的这个其实就是一个美化过的。里面的人、事、感情都是挺美化挺理想的。《好东西》的确也很理想化。而且就是里面的每个人都这么可爱，包括那个小孩其实已经很懂事了。我觉得就就真的都是挺理想化的，我很同意。
[12:38] [嘉宾]：这俩不其实都一样的，就是那种高度设定，所以说你像这部戏，最开投这俩个人，就是这两个人物塑造嘛，一个是从男人家里面出走，另外一个是送上门去，送到这个男人的男人的那个。
[12:53] [嘉宾]：我跟您修正一下，第一个那个铁梅倒不是从她男人家出走，其实他们离婚应该挺久的了。她只是因为消费降级，她给搬到一个便宜的地方。
[13:02] [嘉宾]：哦，也就是说，但是就说你最终给的给这个动作是这样的，一个是从男性的中心，从这个男男人旁边出来，一个是从外面进入另外一个男人的家里。就在这种情况下在在塑造这两个人物对于男性到底是一个什么样的看法。你造两个非常不一样的女性嘛，这两个女性，一个是给男人是生活中可能是要占据中心的，一个是想把男性去男性中心，但是最终发觉这样实际也是不成立的。
[13:31] [嘉宾]：对我来说这个电影的感觉很有意思的地方就是小宋佳的这个角色，可能并不是你的本意，但是我看到了这种东西。就是说你实际上在在讲某种程度的女性主义，一个很强烈、的过于强烈的女性主义某种程度也是也是一种作茧自缚。当你过于坚决的时候，你刻意的要要和以前的传统的女性形象，和女性身份，和女性对自己那种身上的责任的这样一个分裂的时候，你要从他以前的传统人的角色里面脱离出来的时候，你实际上进入了另外一种圈套。就像那种圈套就是你你最终你要比男人更像男人。当这个铁梅试图从女性的传统角色里面出出去的时候，逃离的时候，他实际上进入了一个一个男性的困境，这个困境跟男性是一样的。
[14:20] [嘉宾]：哦，那这个我就紧接着说一下，我觉得她既有男性的困境，但还是有就是身为女性的困境，其实相当于她有双重困境，她是比一个男的更是更难的。她可能是就是属于那种比较坚决的，或者比较走在最前面的那种女人。其实她前面的这个设定包括她这些事发生，其实我的确就是想表达她就是那种特别想面面俱到，就什么都想做好，给什么人都当妈，或者想照顾所有人，就跟她有没有关系，她都想照顾。因为她觉得这是我作为一个女性主义者的应该的自觉，或者是我就应该这么做。因为其实有时候我也会这么觉得。就是尤其像我们可能已经身为姐姐了，就觉得好像就是应该为更多的女人做更多的事。我觉得她其实也有就是上野千鹤子说的那种恐弱。就是她很害怕流露出自己的不行啊，或者是不管是带孩子啊，事业啊，还是怎么着，她害怕让人觉得她不行，尤其是因为觉得她不行就是觉得女性主义者的人不行，或者觉得女人不行，所以她就是很害怕表露或者被人说。但实际上我我也不觉得她是跳入另一个圈套吧，我不知道这个怎么说比较准确，但是的确如果你事事都要强的话，那是不可能就实现的。或者是一定会有更大的困难，就是最后会导致你可能家庭事业爱情都搞不好。就相当于比如说之前我看谁说反正就是也是问女人这个家庭事业，你怎么样兼顾好啊。我觉得现在的很多女人应该明白了，那我都兼顾不好，又能怎样呢？我只要没有弄成大的灾难，对吧？就是还有的确是因为，首先这可能也主要也是一个戏剧点吧，就是也也需要她没有做的那么好，但是我又不希望她真的就是呈现出来做的极其不好。我也不希望把这个困境或者弄得太大。所以我找得找一些适中的情节，比如说像梅带小孩出过国呀，没有让她学特长，但是我觉得不管是铁梅还是生活中一些就是又在搞事业又由又有孩子的女人，她们已经真的就尽力了。但是她做不好的这些其实不能怪她，其实怪的是我们这种社会的评价，就全都指向了她。所以其实我觉得你只要但凡对她宽容一点，你就会觉得她已经做的很好了，她的小孩能培养的这么可爱懂事，然后那么给人温暖。我觉得这比这比出国啊什么有特长会好的多。
[16:53] [主播]：我可以收一下我作为女观众的体验嘛。因为刚刚梅老师说离开男人的女人，她好像进入了另外一种圈套。我是觉得这个圈套并不是女性主义给它带来的圈套。这个是我们生活在这个父权之下，田梅面临的困境很多媒体，会有一些非常好的女性榜样，然后这些女性典范们呢，她们往往是家庭事业两不耽误。她们同时在外面是非常有名的记者，然后在家里面，她们又是一个好妈妈，她们又把孩子管得很好，但其实就是我觉得我看这个电影最大的感受是，田梅没有那么完美，让我松了一口气。因为我会觉得天呐我不是那种女性典范，我不是张泉灵，我不是这样子的。
[17:33] [嘉宾]：对。
[17:33] [主播]：对。就是我就是一个普通的女人记者，然后可能我之后有了家庭我也會把孩子带的很好。而且甚至我我自己剛剛邵宇晖導演也說到了宽容。就我覺得我看這個電影最大的感受是我覺得導演對女性進步與否這件事情是特別寬容的。就是我雖然是一個女性主義者，我要不跟男人談戀愛嗎？我就不能戀愛腦嗎？或者我難道就我像一個男人一樣，或者我我就必須要壓抑我那一部分想要跟男性戀愛或者上床的慾望嗎？我覺得導演對這部分是非常寬容的。
[18:09] [嘉宾]：实际上我看这个电影，反而觉得我就是这个女性太完美了。不是说这个女性不完美，而是女性太完美。实际上我看到的是你，你做为一个女性，这个女性对自我身份自己完美的某种苛责造成的自己内在的某种的压力被放大。所以说我作为一个男性观众，我反觉得这个这个女性太完美了。
[18:32] [嘉宾]：哦，但其实啊，这种苛责的确首先我们女人对自己就是要求过高，但这个过高是为什么呢？是还是因为从早到大，或者这种结构性的声音啊，社会啊，以及包括网上的舆论，它就是对女人更苛责。所以我们把这种苛责压力就是内化成了我得先自己做好，我就想堵住别人的嘴，但是其实也都堵不住。
[18:53] [嘉宾]：其实梅老师是这个意思，就是说因为她对自己要求高，她一定会更困难嘛。她自己开启了hard的模式。但她没料到的也是我需要的戏剧情境就是那个网暴给她的那些声音。那个其实是她也没有想到的，但是我觉得这也是我根据现在的舆论所观察到的吧。就是这种这种声音其实的确刺激到她了。但是她最重要要把它击垮的是因为她不是也跟小叶说了嘛，本来我又写了一篇文章回击他们，我绝不认输绝不反击。其实也有镜头交代她整天半夜她床上爬起来在那写。但是她说她都删了。原因就是因为她首先她有一个孩子。因为她的孩子在问她妈妈我可怜吗？我觉得这个是非常刺痛一个最坚强的女战士的。首先她觉得她肯定是不觉得自己的孩子可怜的。她觉得这个我给你提供的世界已经非常的温暖和安全了。但是的确就就是孩子现在面临的危险的世界的处境，就是他们有他们自己的世界，或者她的同学肯定是，因为这个那个设置也是老是针对她的张家欣，其实这次没有针对她，反而在可怜她，而且在原谅她。这个我觉得也挺搞笑的。
[20:05] [嘉宾]：我那会儿已经在剪辑的时候，都拍完了嘛。就是前段时间门罗的那个事情，她女儿就是公开了她们罗的那个后来的老公就是性侵她的事情。她女儿反正就是有次见到她了，就跟她控诉了这事，就是很激烈的，两人争吵了。然后我看到那个报道说她女儿好像第二天还是过了几天，接到了门罗的电话，然后门罗跟她说了我原谅你了。你们记得这个细节吗？当时我就突然觉得啊，她跟我写的这个其实是一样的，就是而且这个真的很让人填堵。痛苦或者做错事的明明就是你，但是你说我原谅你了，那让她的女儿她该说什么呢？对吧？明明受性侵的是我，然后呢，忽视我的是你，对吧？然后你现在跟我说你原谅我了，我就会堵住了。当时刚好也有写这个情境，但我我当时没写那么没想那么多啊。但我为什么要让张家欣说原谅她呢？其实就是我觉得张家欣和她的家庭，就她的妈妈代表了某一种那种的中产精英的人。就是因为张家欣说了我妈说你很可怜，让你有什么想吃的告诉我我给你。然后谁让你摊上那么一个不靠谱的妈，就是就是说明她的妈妈，就张家欣的妈妈是那种很精英，然后很傲慢的一种群体。就是对我看到一个可怜的人我不会去给他踩上一脚，我只是会更加可怜它，我会施舍它。其实这这另一种傲慢的态度，但是我觉得这种肯定是比简单的，我又来欺负你下要高级。或者让那样的群体觉得其实我很高级。对，所以是这么去设置了张家欣。哦，但本来我想说的是为什么刺痛了铁梅，就是因为这个孩子问她，我可怜吗？所以我觉得因为这一句话就让铁梅自己觉得我太失败了。我自己以为的，我把小孩教育多好，我这样那的，其实全都，没有。竟然我的孩子觉得自可怜，那我算什么？
[21:12] [主播]：电影里面也有提到单亲妈妈的处境，就是我们应该书写哪一种单亲妈妈？一种是很惨的单亲妈妈，然后另外一种可能是精英单亲妈妈里面展示的那种明星的单亲妈妈，然后但是铁梅其实是介于两者之间的。那我们正好也跟导演聊一聊吧，就是为什么选择这样一种单亲妈妈的叙事。
[21:31] [嘉宾]：首先实话实说我，我这个这个好东西剧本写了好几稿，我最初一稿我觉得就是一个危险模式。因为就是想讲那个疫情的时候不是很多人失业了吗？其实铁梅她就是一个就是失业的记者。有很多戏都是她不停的找工作，或者不停的面试，又去她原来同事那儿，又去一些新的，或者卖货的呀，或者那种创业的，或者大厂，其实就是你们这些媒体人。对吧？会选择去的地方。我觉得那就是对于一个我们现在真实的这种一个受过高等教育的，她肯定也不是底层人的那个困境。包括那个时候我写的他那个前夫也更可爱的部分其实都在。只是他更一直在花铁梅的钱。他还就是一直问铁梅借钱啊，要钱啊。但是他因为想好好创业，想给铁梅更更好的生活。给她们俩更好的补贴。但其实他就是一直在亏钱。就是让铁梅的压力就非常大。对吧？他又要养一个吸血鬼，又要养一个小孩。然后她又还得再找工作，她也是一个普通的记者，没有什么，她只是有一些人脉资源。为什么我后来都都删了，这些都不要了。是主要是因为有这些情节之外呢，他就是我的台词风格还是一样的，就还是幽默的、调侃的、自嘲的。然后呢他同时还是有跟小马的这个鼓手的感情线。我就觉得这就会出现一个问题。首先她那么悲惨之后，然后大家还老是那么幽默去和调侃，这这是一种残忍。还有就是谈恋爱那个部分，就会觉得你现在都穷成这样了，你怎么还要跟人上床呀？你不是应该所有的心思都在赚钱上吗？的确也是这个电影90分钟它有限的部分。就是其实生活中实话说是就是一个真实的情况，一个女人她可以又在赚钱，然后又在焦虑，她孩子又不听话，她老公又来借钱，但是她同时也想放松，她也想约约会约炮。这是可以，但是如果你把这些真的放在电影上，可能也能写好吧，只是比较难。所以我把前面这个故事就画成了铁梅的一句话，就是铁梅跟那个在编辑部里说，老是重复女性悲惨叙事这也不利于改善女人的处境啊，这以后谁还敢做单亲妈妈？这就是我最大的感受。因为我把真实的单亲妈妈，尤其是那种就是私面楚歌，就危机重重这个展现出来。我觉得让很多我们女人看了，我靠，我可不敢离婚，我靠，我得像她那么累，我太难了。还有一个是因为《爱情神话》的时候，那会儿我记得上海有一个就是这种婚姻咨询师，他就跟我跟我说他很喜欢这个电影，原因是因为她之前的大量的工作就好几年，就是一直在接待这种女性，想离婚但是不敢离。或者一直长期被家暴，还是不敢离。或者老公特别差，还是不敢离。但同时她们肯定是想离的，不然她们就不会去这个婚姻咨询师去咨询。然后呢不管这个咨询师怎么跟她，说你，你可以离开他的。其实你看你现在就比老公多。然后你能力这么强，你把小孩教育，你为什么不敢离婚呢？其实是她离不开你，不是你离不开她，不是你离不开这个婚姻。但是因为这就是我们结构性的问题啊。就的确事实上我们是可以离开男人或者离开婚姻的，但是我们真的就不敢。因为我们从早到大被塑造的，被规训的都是女人最重要的是有个家，或者有一个家庭啊，爱情啊，什么孩子才是你最核心。这种东西的洗脑和中毒是非常深的。过的的确比较悲惨的女性，她很难相信自己可以的。但是呢那个咨询师就跟我说，过去的怎么想劝她出走，让她有出走决心的那些女人，最近直接就自己离了。而且她们说就是因为看来《爱情神话》觉得哎里面全都是离过婚的女人，都过得好快乐，好潇洒。就是觉得我也可以啊，因为她跟我情境一样啊。而且你看她住的那个老破小，就是跟我也是一样的。就是甚至我我比她更好一点，我的处境啊，我赚钱能力啊，什么都比她好。那我为什么不能离呢？人家这个这些三个女人，他们三个不同性格不同状态的，都能那么快乐。那我其实也可以的呀。我觉得这个意义就很大。
[26:47] [主播]：我觉得刚刚邵导说的前面那一段东西有很打动我，就是你有说那个婚姻咨询师。有很多女人她是看了《爱情神话》之后，她看到单身女性可以这样生活。她就就就她就决定离婚了。我觉得这一个电影也是给我最大的感触就是我看到了很多新的东西。比如说一个女性她可以跟自己的邻居建立一个如此亲密的共同体的这样的一个关系。但是在此之前，我们想象中的一个女人你总是需要一个家庭，你总是需要一个男性，然后你总是有一个核心家庭似的，一个东西在未来等着你。你需要嫁一个人，你需要养育一个孩子。我觉得我们现在讨论的其实就是这样一种新的东西，这也是电影在讲的东西。总结一下梅老师跟邵导刚刚前面提到的，就是我们其实有一个基础的，就这个基础是这些女人是学习了女性主义理论。她们有了一种新的语言，这个是故事的起点。就可能跟《出走的决心》这些电影不太相同的是，就是《出走的决心》是女性在那个电影的结尾，她决定出走了，那是她觉醒的时候刻。但是这一个《好东西》电影里面，她的起点其实就是女性已经觉醒了。所以我们的讨论其实是有这样一个前提的。其实看的过程中我觉得我跟梅老师很不同的点就是我完全不觉得这是一个乌托邦，这是一个理想国。我看的感触是这些东西都太真实了。就是它就像我觉得铁梅和小叶，她就很像我身边的朋友。她甚至我某一部分也非常像小叶，也像铁梅。我觉得这个就是特别真实的。因为我们都是现在我们都看过书嘛，看过上野千鹤子，包括那个电影里面出现的。
[28:28] [嘉宾]：看不见、看不见的
[28:29] [主播]：看不见的隐身的情绪劳动，他们不是捞到，只是说够了。这些理论我们都学习了，但是你会发现好像在现实的生活中，女性主义理论他们并不能完全的指导生活。或者是当有一些情境发生的时候，我会发现我是要当那个更进步的女性呢，还是啊那就这样吧，这种的。我我觉得邵导其实在写的是新旧夹缝中的女人们。就是我们既没有办法做到那么现代，但是我们是传统的旧女人吗？我们是要不要事业了，或者说回家当全职妈妈，或者说找一个男性结婚生子那种女性吗？我觉得也不是的。就是我们像这两个女性主角一样都处在新旧的夹缝之中。就是像这个电影里面的两个主角一样，在宣发的时候有说嘛，没有持尽的女性是什么样的。我想提个很打动我的地方，就是从因为小叶是一个乐队的主唱，所以她当时就是她在带小孩的时候录下了很多声音让小孩听，然后那个情景我就一直在掉眼泪。就是她有录下来铁梅煎鸡蛋滋滋滋的声音，有录下来铁梅吸尘器吸地的声音，有录下来她修地板的声音，有录下来她踩买采购。孩子听着的时候是哦这是下暴雨的声音，这是龙卷风的声音，这是海豚越进海面的声音。我当时一直在掉眼泪，我好像觉得嗯小叶是唯一看到铁梅的人。就是她在做这些隐身的家务劳动的时候，你说跟她生活在一起的前夫，或者是跟她生活在一起的小孩，其实对这种声音都是非常陌生的。我其实没有想象到原来能看到女性劳动的是一个住在她隔壁的一个女人，跟她住的很近的女人。这些地方是非常打动我的。当时梅老师又提到这个情节，但是梅老师的感受是跟我很不同的。
[30:17] [嘉宾]：我可能更多的是，第一个就是你这个电影是一个特别观念性，特别强的。这个电影是你比你第一部戏要讲的话多太多了。
[30:26] [嘉宾]：对。
[30:26] [嘉宾]：我在看的时候甚至会有一种，有一种看谁的电影的感觉。就是有点像看那个杨德昌再拍《独立时代》和《麻将》时候的那种感觉。
[30:35] [嘉宾]：真的吗？这是我的偶像。
[30:36] [嘉宾]：对对对。就是说那个说话的欲望无法抑制，以至于在某种程度上我觉得对这个电影呈现了某种伤害。但是这个场景是不讲话的。杨柳刚才讲的，第一个是看见，但是对我来说更多的是生活日常的这种琐碎。它不只是日常生活。当你去用另外一个眼睛看，或者用耳朵去听的时候，它是另外一种状态。它施主是更广阔的一个东西。这是第一个是，它本身这种这种通感你的这种运用我本身觉得就很好。第二个是，这是一个小孩看，小孩听到的。小孩听到的是，他听到的不是日常的繁琐。还是听到的一个更美好的东西。当我们想到这一层的时候，你就会想到，当你从一个小孩变成一个成人之后，你听到的就是日常。你就听不到这个这种声音本身那种那种中间的连接。它本身会给人造成这样的一种，有性无性，世俗与梦想，一种让人的想象空间。这个电影的，就是说在那么实的，那么不断地像机关枪一样，说你对这个事情的看法的时候，在这一刻你你放下了这种这种东西。这个东西我觉得在这种强对比之下，这个地方更打动人。人的困境也好，就是这个困境就是我刚才说的。它是一个所有人的困境。我们都在都在最终是陷入这个繁琐之中无法就从中真正挣脱出来。但是在这这么一刻，在某一刻，无论是别人给予的，还是自己意识到的，你意识到这个这个东西，我们可以不困在这里面。我是从这个层面去去考虑这个问题。
[32:13] [嘉宾]：的确其实实话说是从性别的角度，就其实是最简单的女人要承担更多了无偿家务劳动。其实您这么一说我觉得也很有道理啊，就是小孩听的就是一个更脱离成熟啊，然后一个更美好，更广阔的世界。但是实际上等你长大，你就发现全都是生活琐事，鸡毛蒜皮。而且这些事都是女人在做。其实你想想那些家务感觉其实生活中肯定是有男的在做的了。但是
[32:44] [嘉宾]：很少。
[32:44] [嘉宾]：对，你看这个男的说很少。就听这个男的吧。
[32:48] [主播]：因为这个电影的英文名字是《Her Story》，就是我能感受到导演在把很多女性的议题放进去里面，比如说月经羞耻、家务劳动、然后女性的安全、生育、育儿、单亲妈妈的困境、女性友谊这些。就是非常非常多的《Her Story》。
[33:05] [嘉宾]：就是就是男性说的话太多了，想输出太多。
[33:09] [主播]：对，我就想问导演是怎么选择这些议题的。就是因为我我会觉得有的时候它好像只是某本某本书里面的东西，它在社交媒体上讨论的东西。但是其实作为创作者来说，把它放进实实在在的故事，还有细节里面是很难的。
