[00:00] （背景音乐）
[09:18] [肖肖跑]：而且就像我前面说的嘛，我们现在已经录了大概四分之三了嘛，跑师根本就没有录过瘾。而且我们在录前面六位人物的时候，我们也会发现说他们成名基本上集中于同样的1、20年，然后他们的出生年份也大概集中于上世纪30年代到50年代。就是这些让我们公认，没有任何争议的大师，他们是有非常明显的一些共同性的。他们是一个时代的代表。那可能在我们的第二季第三季我们会聊一些可能争议性更大，但是人也会很有趣，或者是他们也有一些非常典型失利的这样的一些人。

[09:55] [大卫翁]：对，咱们在准备 PTJ，就是保罗·都铎·琼斯的时候，因为已经录到第五第六期了嘛，所以我去回看了一下，我突然发现，诶，这些人他们真的都是出生在44年到54年，除了西蒙斯是38年。他们进入到投资市场都是在70年代，甚至是70年代末。那这个时代背景都特别的有意思。就是为什么叫时势造英雄。就是大家可以想一下啊，44年意味着什么？意味着基本上战争已经结束了，大家进入到一个和平的阶段，那这些投资大师们纷纷在那个时候出生。这意味著他们的身上是没有上一代人的很多思想钢印的。因为如果你经历过20年代，特别是30年代大萧条的时代的话，就是相当于投资大师的父辈们是很难把投资这件事情真正的作为自己的职业，甚至是一生追求的目标。因为他们都会一朝被蛇咬，十年怕井绳，对吧，就是会觉得股票市场，资本市场不靠谱，大萧条会带来整个市场长时间的低迷。但是这件事情在投资大师身上是不存在的。他们从出生的时候，整个世界就和平了，然后慢慢的在往上走。而等到他们真正进入到自己职业生涯的，比如说20多岁，甚至是30多岁的时候，这个市场，特别是以美国为代表的发达国家，进入到全球化，进入到这种企业的利润高增长，然后呢资本市场大爆发。除了股票市场之外，又有了债券、期货、量化等等的这些武器的时候，他们进场了。

[11:35] [大卫翁]：所以这两件事情，就是他们出生的时代和他们开始职业的时代，也决定了他们可以有这样一个机会，可能成为所谓的投资大师。当然他们自己的天赋，他们的努力，以及他们身上的运气都是必不可少的。毕竟这个世界上投资大师就这么几位，对吧。但是我是非常希望大家能够把这件事情铭记在心里的，就是时代这件事情很重要。那如果我们再映射到现在的时代，中国会不会有投资大师？我相信一定会有的。那什么时候出生的人，什么时候进入到投资这个市场的人可能可以成为投资大师，这跟我们的整个时事也是息息相关。

[12:18] [肖肖跑]：嗯，我还不能指望你俩吗？

[12:20] [大卫翁]：我们俩可能不太行。

[12:22] [肖肖跑]：哈哈哈。

[12:23] [大卫翁]：其实我觉得80后、90后，余白说是非常好地享受经济腾飞的时代的这么一代人是没有问题的。但你说的投资这件事情，它还跟整个资本市场的发展阶段，包括整个世界的格局有关，所以是不是我们这一代人只能回头看？我们也只有到这些投资大师60、70岁的时候，回头看，哦，他们赶上了一个好时代，然后他们有了这样一个可能性，对。

[12:48] [肖肖跑]：嗯，我们才走了一半。

[12:49] [余白]：对。

[12:50] [肖肖跑]：我觉得可能站在悲观主义者的视角，他会觉得说，啊，时事造英雄，个人奋斗固然重要，但最重要的还是历史进程。就是如果我没有赶上这个时代，可能我就没戏了。但是如果你是一个比较乐观视角，或者是一个比较中正平衡的心态来看，纵观我们目前的的第一季的这个投资大师系列，你就会发现他们每个人的性格完全不一样，就是他们的原生家庭也不一样，人生经历也很不一样。但是他们都找到了适合他们自己的投资品种。

[13:20] [大卫翁]：对。

[13:21] [肖肖跑]：然后他们都找到了自己舒服的这种投资方式和领域。我觉得这个是可以给大家一些信心和安抚感的。

[13:29] [余白]：对，余白说的这一点是非常重要的，对于对金融行业非常感兴趣的小伙伴，我觉得这个专辑呢是一个很好的索引。就刚才余白在讲的时候，我其实脑子中已经浮现了一个这个武林门派的一个形象。

[13:44] [余白]：不管是你听到的像彼得林奇啊，还是可能不太熟悉的一些像德鲁克米勒啊等等。虽然大家的心目中听完他们的故事都觉得他们是大牛，但实际上他们分别属于不同的流派，他们用的也是不同的策略。就好像少林武当峨眉，对吧，还有新秀丐帮等等，反正大家使刀的使剑的，然后使这个独枪暗刺的，反正强项都不一样。所以这个时候呢，如果我们站在现在这个角度，尤其是年轻一点的朋友们来了解他们的话，就会有点乱。所以我们其实是需要一个象限，一个指南针，看看这些大神，他们都在哪个象限里，他们是哪个流派的，他们持有什么样的理念，用的投资方法是什么样子的。我觉得这样对大家才会有比较合理的一个指引的作用。

[14:33] [大卫翁]：嗯。

[14:33] [余白]：所以听完这期专辑呢，我相信大家会把各种的投资派别有个清晰的认识。我们还会些坐标轴的指引，比如说我们相现在从左到右，到底哪边是更依赖于人做判断，哪边是更依赖于量化或者是数学和机器做判断等等等等。大家我觉得心目中你甚至自己可以把这些名字放在这个坐标系中，然后自己对整个的策略都会有一个非常清晰的认识。

[15:00] [大卫翁]：对。另外我想强调一点的是，刚才余白说是不是悲观的人会觉得这是时事造英雄。不是的。时事造英雄这件事情跟悲不悲观其实没有关系，它是一个非常客观存在的事情的。

[15:14] [肖肖跑]：嗯。

[15:15] [余白]：我是想说可能有些人会觉得说，那我没生在一个好的时代的话，我就不适合做投资，我就很难出头。就像现在可能很多人会觉得说，我如果现在才进入就业市场，我就是不如上一代。我的职业生涯可能就和黯淡。

[15:31] [大卫翁]：对。我是想说，第一，能成为投资大师这件事情，可能不是我们听专辑，包括我们在录专辑的这些应该去考虑的这个高度，对吧，这个世界上也就这么几位人。但事实上，我当年非常不喜欢，甚至我不喜欢去看投资大师的专辑，其实跟你刚才说的这定非常相关。就是因为投资这件事情，跟我们去看其他种类，的这种传记不一样。你比如说你去看一个国家元首的传记，你不会觉得你能成为一个国家元首，对吧。

[16:04] [肖肖跑]：嗯。

[16:04] [大卫翁]：但是呢，投资大师的故事会给大家一种错觉，因为投资这件事情是我们每个人都可能去做的。你可能去投资股票，你可能去买债券，你会做资产配置。所以这些投资大师在做的事情似乎跟我们在做事情是一样的。而往往写这些故事的人呢，又会有意无意地去忽略一些，比如说时代背景，或者是这些人他们的一些比较枯燥的部分。最经典的例子就是我们在聊彼得林奇的时候，大家都会觉得，哦，他是一个从生活中就可以发现投资机会的人。但是呢，没有人去考虑他一年要去调研几百家公司和上千个高管去聊，对吧，40多岁头发就白了。就这两者明明是同样重要的，但是你在看投资大师故事的时候，往往会有意无意地忽略后面这定。会让人觉得如果我按照这条路走，我去吸取了他们的一些秘诀，是不是我就可以成为他们这样的人？那这里，第一，我们把时事、时代这件事情一定在我们整个专辑中不断地去提出来，对吧，在讲当时的宏观背景，在讲当时世界的情况，资本市场的情况，让大家清晰地把这定意识到了。其次呢，在我做这个系列做到中间甚至偏后的时候，我突然悟了。就是我突然觉得，哎，了解这些人的故事是也是有意义的。

[17:22] [肖肖跑]：原来前几期不是这么想的。

[17:24] [大卫翁]：我在一开始的时候确实还是只是想把这些人的事情跟大家讲清楚。因为你看我们开始录的达利欧啊，西蒙斯啊，都是故事特别丰富，对吧，都是他们自身的这种生平就有很多可能不为现在的普罗大众所知道的。我纯粹是站在这样的角度，但是到了后期，特别是在我录德鲁克米勒的时候，我有了些不同的想法。是因为在我了解清楚了当时的时代背景，他们做各种投资的决策，包括他们为什么从一个品种迁移到另外一个品种的时候，他们在想什么，等等这些事了解清楚之后，它确实可以让我们的视野变得跟以前不一样，会让我觉得，哦，其实我们原来对这些人的理解，比如说德鲁克米勒，他是一个跟索罗斯一起共事的人，对吧。但是我并不知道，哦，原来他在纳斯达克泡沫破裂时候的那一阵，并不是做空股指，而是在债券上面赚了很多的钱。那这件事情本身我学不来，但是这种思路或者是这种视野，是我们未来的投资生涯里面可以去参考或者说可以去借鉴的。

[18:36] [肖肖跑]：嗯。

[18:36] [大卫翁]：从这点上来讲，我突然想明白了，就是这个系列对于普通人到底有什么样的价值，并不是说让我们亦步亦趋或者说你按图索骥去学这些投资大师怎么做投资的，而是让大家在视野上，在思维层面，有一个拓展。这个其实可能是更重要的。

[18:56] [肖肖跑]：对。

[18:56] [余白]：嗯。

[18:57] [肖肖跑]：这定非常重要，就是说我们在听这个大师系列的时候，我们的目的是什么？首先呢，我们肯定是向大师学习，就像刚才这个大老师讲的，还有余白提到的一些，他们都有数十年，甚至是数几十年的市场经验。而且我们还可以学习他们的思维框架等等。但是我觉得这个并不是最主要的，我觉得最主要的呢是我想让大家记住一句话，就是说我们也应该有重塑偶像的权利。

[19:27] [大卫翁]：嗯。

[19:28] [肖肖跑]：无论我们从事什么行业，在学习和工作生活中，我们肯定是需要有一个偶像或者精神导师的。他相当于我们从事这一个行业，或者说我们想达到目的的一个北极星。但是寻找这些偶像的意义，不是要崇拜他们，尤其是在金融行业，投资和交易，尤其如此。

[19:48] [大卫翁]：嗯。

[19:49] [肖肖跑]：这个不是心灵鸡汤，大老师肯定也知道，在金融行业，如果你盲目崇拜偶像，你是要付出巨大代价的。首先大师也有可能是错的。我们讲了这么多大师的故事，其实我们都会提到他的一些失败和翻车的案例。而且很多时候这些失败和翻车是非常非常严重的，如果说某一个后续的这个步骤出了差错，那我们可能现在都听不到他们的名字。所以我们在专辑中提到了大量的案例，比如说达利欧老师，如果把他的全天候的策略当做我们的交易圣经的话，然后你跟着他的这个什么 Pure Alpha，绝对阿尔法，你亦步亦趋的跟着他走，那很有可能你在2020年就完全翻车，可能都没有什么复盘的机会了。而且呢，就算他们的预测是对的，或者说他们的想法是对的，但是我们也必须要清楚，他们是他们，我们是我们。

[20:44] [大卫翁]：对。

[20:44] [肖肖跑]：首先我们的背景和仓位，还有你所有的这个条件完全不等同。也就是说就算他是对的，你提前知道他是对的，那你也许也等不到对的那一天。所以说偶像可以仰视，但是我们复制呢是不太行的。

[20:59] [肖肖跑]：比如说大家都看过那个电影是吧，大空头。然后里边那个一战成名的那个 Michael Burry，我们有可能在二季或三季把他也加入进来。如果说你想做的像他一样成功，在次贷危机中打了一场这么漂亮的翻身仗，那你看过电影应该都知道，他要持续很长很长的时间，每一天身心都要承受的住与全世界为敌的这种巨大的煎熬。就像刚才大老师提到的，像彼得林奇他的这种付出的巨大努力，还有你身心要承受这些巨大煎熬，我并不觉得是每个人都可以做到的。更别说，就比如说我们讲到像西蒙斯啊，或者说巴菲特老师虽然没讲，但我们讲过类似的骑在时代红利上你得到现在成功，我们没有这种时运，我们跟他们不是在同一个时区里。所以呢，我是觉得大师或者是偶像最大的作用就是告诉我们，这个世界上是有案例可循的，是一个思考的方法，值得我们去追寻。但是偶像的经验是用以借鉴的，不是追随的。

[22:01] [余白]：本人学到最最重要的经验就是去高尔夫球场当球童。

[22:04] [肖肖跑]：对对，这个梗太重要了，大家要在这个专辑中找一找。

[22:08] [余白]：大家听到后面就懂了。

[22:09] [大卫翁]：一些内部梗。

[22:10] [肖肖跑]：对。其实我也知道很多人对投资是又想靠近又想了解，但是又害怕这些专业知识听不懂。那我们这系列会让大家有这样的担忧吗？

[22:21] [大卫翁]：我觉得这个问题的话，第一，在开始就讲嘛，有余白的加入让这个系列变得非常的平易近人，就它在中间会不断地打断我们，然后要求我们。

[22:32] [余白]：为什么感觉在讽刺我？

[22:34] [大卫翁]：要求我们去解释一些应该要解释的事情，因为我跟跑师说激动的时候就忘乎所以了，对。所以这定我个人认为不用特别担心。另外一个很重要的就是小酒馆的同仁们确实为这一系列节目制作了非常详尽、精美，很有专业性的这个 show notes。就大家如果打开这个每期的 show notes，包括我们去年两期免费版的西蒙斯跟达利欧都已经让我叹为观止了。

[23:02] [余白]：也让我们试出来小宇宙这个文稿区的上限是5000字。

[23:06] [肖肖跑]：我那天其实想了一下，我们其实在这个每期讲的内容它的信息量是相当大的，甚至不排除我们将来可能有机会会把这些我们聊到过的大师，把它重新沉淀一下形成一本书，并不是没有这种可能性。

[23:20] [余白]：跑师开始给我们画饼了。

[23:21] [大卫翁]：跑师这个自我卷的能力实在是太强了。

[23:24] [肖肖跑]：太强了，太强了。没有没有。

[23:26] [余白]：哎，那我们这个节目你们觉得适合什么样阶段的人来听呢？

[23:31] [大卫翁]：我觉得确实还是有一点门槛的。当然有一句话怎么说来着，外行听故事对吧，内行听门道。如果你对这些人完全没概念，你对投资这件事情也完全没概念，你其实可以尝试着去听一听去年的这个达利欧跟西蒙斯，他们都是免费提供给大家的。如果里面那些故事你觉得也挺好玩的，我就记得达利欧那期其实很多的朋友根本就不是关心投资那一挂，对吧，大家都会更关注这个领导，他是怎么 PUA 下属的，然后他在公司里的各种相对比较恶劣的行为，我们也聊了很多。在后面大师里面也有类似这样的一些故事。所以就算你完全对投资也不感兴趣，或者是对于投资这件也不了解，你依然可以从中间听到一些不同的东西。但如果你是对，不管是股票投资，债券投资，资产配置，量化交易等等的这些感兴趣的人的话，那我相信你在这个系列里面可以听到一些你传统的关于这些人的故事里可能听不到的，因为我和跑师确实是自己做过这方面的机构投资者以及个人投资的。所以我们去理解这些投资大师的很多行为可能视角会不太一样，那我们也希望把我们过往的这些经验能够加入到这个专辑里面，能够一并提供给大家。所以我觉得对于不同类型的人都可以有不同的收获吧。

[24:59] [肖肖跑]：对对对。

[25:00] [余白]：如果大家的目的是为了发现一些对自己有用的参考或者是有用的启发的话，我觉得首先第一没有必要把它当成一个课程来听，它不是说我学会了就会怎么样。

[25:12] [大卫翁]：对，千万不要把它当课程来听。

[25:14] [余白]：对，是的。而且呢，刚才大老师也提到过了，其实我们在美录一位大师之前呢，我们还是做了相当多的功课的。就我们分别和这位大师沉浸相处了很长的时间。

[25:27] [大卫翁]：对。

[25:27] [余白]：尤其是大老师，简直就是吃饭也在想他们，睡觉也在梦着他们。所以其实我们不只是把他们相关的书找来看，我们也还会对我们职业生涯中跟他们有些交叉的那些片段来复盘一下，以及我们对他们的理解。其实在这个过程当中呢，我们还是从对自己的启发以及可能对大家的一些有启发的点，从这个点来出发，配合一些小八卦啊，小故事啊，而且呢，不是那种非常干的金融的知识的角度来给大家讲这个故事。那大家从故事中呢，也都有可能会找到自己的影子啊，或者是自己目前有的些疑问，我是觉得都合适。

[26:08] [肖肖跑]：呵呵。

[26:09] [余白]：嗯，两位老师呢已经自夸过一轮了，就是我来小泼一下冷水啊。就是首先呢，我希望大家不要把它当成一个课程。因为我觉得我们在里边特别珍贵的是大卫翁老师和肖肖跑老师，他们从他们自身这么多年的投资生涯以他们的视角来看这些大师们，这些碰撞是特别特别可贵的。

[26:30] [余白]：那然后为什么我们要把它做成付费节目呢？其实一个很重要的原因是，最开始我们讲达利欧还有西蒙斯那两期，准备啊，录制啊，制作，所耗费的时间和精力真的是远远超出我们的预期。星姐一度都不想干了。就像我前面说的，列出来的资料，小宇宙的文稿区都放不完。但是节目上线后，就是在评论区我们会看到不同的声音，有一些朋友会反馈说，啊，太难了，听不懂啊，等等等等。就那个时候会觉得比较沮丧。当时一度在想，就把这个系列停掉好了。就大老师和跑师也知道这个事。但是给我灵感的是，有一次呢，我在公司走廊里遇到了我们数据组的负责人董大。他也上过我们小酒馆第二期节目。董大是那种沉默寡言的酷哥类型。

[27:24] [余白]：非常难得的，当时他主动跟我说话，说，哎，这个节目做的很好，他听了觉得很有收获。我摇摇头，我说我们可能会把这个系列停掉。他说别啊，你这个节目做的挺好的。我反问一句，你觉得好，那你为什么不留言不打赏呢？他就呵呵一笑。就是后来我收到了很多这样的私下反馈，一些金融同行，包括同事们会说，哎呀，你们这个节目做的太好了，我听了几遍。这些会让我意识到说，我们的投资大师系列是很有价值的。只是呢，它可能不适合所有人。

[28:00] [余白]：我们应该设置一个我们回觉得相对合理的这样的一个付费门槛，让那些真的喜欢，对这内容真的有需求的人，让大家来购买来听。而且这些不会影响到知新小酒馆的正常更新。

[28:14] [大卫翁]：然后对于我们三个来说也是一种情绪价值吧。就是我们的付出希望能够看到一些，不管是数据上的，还是金钱上的反馈吧。我记得跑师说过一句话，就是录这个事情本身，自己表达出来就很高兴。

[28:31] [肖肖跑]：嗯。

[28:31] [大卫翁]：我现在也特别认同这定。就我现在在做一些投资决策，或者在做一些新的这种资产品种的开拓的时候，我就真的会想起当时他们，不管是在想什么，他们做了什么，然后他们为什么会做这样的行为，会想起很多片段。然后呢，它对我自己有非常强的支撑作用。这定是我原来在看比较泛的关于投资的书，比如说也有很多投资理论的书啊，或者是这种具体的投资策略的书啊，是完全不同的，因为这些人是活灵活现的，就这些人在他做出一些举动的时候，他有他的前因后果，有他的一个背景。他给你留下的印象跟你完全看一个理论是不一样的。所以这是对我自己的一个收获吧，就是做这个系列。所以就算没有很好的数据或者怎么样，我相信啊，我和跑师也一定会把这个系列做下去的。

[29:26] [肖肖跑]：对对对，这个非常同意。其实真的不管大家是做什么，我们做一些复盘的时候会发现很多新的东西。尤其当我们在这个全面立体的沉浸式360度无死角理解一个人的时候，真的是比我们听来的一些只言片语，或者听来一些让人这个比较惊悚的故事是不一样的，得到的启发我觉得会更多。

[29:48] [余白]：对，而且还帮助大老师重新确认了自己的本命。

[29:52] [大卫翁]：就是你十几年前看过的霍华德·马克斯的书，当然我十几年前也看过彼得·林奇的书，那现在在重读他们这两本书，我就更加确认了，哦，我的本命是马克斯，不是彼得·林奇，对。

[30:05] [肖肖跑]：嗯。

[30:06] [余白]：那接下来我们这个系列里，如果你只能推荐大家先听一位大师，你们各自会选谁呢？

[30:11] [大卫翁]：跑师来。

[30:12] [肖肖跑]：如果我要推荐的话，如果能给我两个名额的话，第一个是德鲁克·米勒，第二个是西蒙斯。一个名额的话，我就还是选德鲁克·米勒。原因是，因为实际上。

[30:25] [余白]：真的爱。

[30:25] [肖肖跑]：哎，有可能有可能，我的本命。那么西蒙斯呢，为什么推荐他？是因为他实在是太特别。而且他所做出的事情，虽然有他时代的背景或者怎么样，但他在这个行业中是，没有人可以否认他的这个贡献度的人。如果说大家有志于从事量化这个行业的话，那么你对他，或者是对这个文艺复兴做全面的了解的话，一定是有好处，没有坏处。但是呢，他可能离普通人还是稍微远了一点。德鲁克·米勒为什么我会选他？那首先因为我也是做宏观的。他对于宏观的理解是相当深的，但是并不是说他的记忆很超群，或者说他这个惊为天人的这种宏观分析技术是值得我们更加推荐给大家的。我是觉得他的人生态度。首先他在真实生活中是一个非常非常正常的人。

[31:17] [余白]：呵呵。

[31:17] [肖肖跑]：你，怎么找也找不出他有什么非常特别之处，他就是一个普通的人。他也不是名校背景出身，那他对待所有人的态度也是非常平时。包括他现在的生活也是非常正常，然后家庭、慈善、工作都平衡的非常非常好。我就是觉得这种平常的心态是非常值得推荐给大家的。

[31:39] [大卫翁]：嗯。

[31:40] [肖肖跑]：跑师提名了两个，我也必须要提名两个。

[31:44] [余白]：这么端水嘛。

[31:45] [大卫翁]：这个对，一个真的是容纳不下。我最想推荐的一个就是马克斯。

[31:50] [余白]：嗯。

[31:51] [大卫翁]：另外一个是 PTJ，保罗·都铎·琼斯。

[31:54] [余白]：你这个人选我很意外。

[31:56] [大卫翁]：是吗？

[31:56] [肖肖跑]：我有点意外，PTJ 不应该是我提名了嘛。

[32:00] [大卫翁]：那等一下听了你们就知道为什么了。先说马克斯啊，马克斯比较容易理解啊，第一个当然原因是，因为这一期我真的是呕心沥血，就是真的把他的两本书先读了一遍，然后把他所有的播客都听了一遍，把他所有的 memo。

[32:14] [肖肖跑]：所有的英文播客，中文播客，日语播客都听了一遍。

[32:17] [大卫翁]：对对对。他的中文播客其实非常少，大家可能只是对他的书做一些讲解，就是讲这个人的并不多。英文的挺多，因为他自己也会出一些播客节目。但另外大家知道他是20年写了多少 memo，我是真的把 memo 全部一个一个读了一遍。当然这个对我自己的帮助很大，但另外一方面也沉淀下来了好几万字的提纲，所以我记得那一期剪辑出来之后，小酒馆的同事扔出来一张图，就是我一个人独占50%以上的发言时长，对吧，这个也对不起两位，这一期我确实有点忘乎所以了。

[32:51] [余白]：对，我们上线了这一天大家就可以听到了啊，霍华德·马克斯，嗯。

[32:55] [肖肖跑]：我主要是当时我也听入迷了。

[32:57] [余白]：是的。

