[00:00] (背景音乐：轻快的吉他旋律)
[02:59] 大家好，我是Neko，我们今天在一个暴雨天线下，进行一期非常乌托邦的串台。
[03:07] [主播]：哈哈哈哈，大家好，我是《起朱楼宴宾客》的主播大卫翁，今天终于跟猫草老师和Cindy面基了。
[03:15] [嘉宾-Cindy]：对，第一次线下面基。
[03:17] [主播]：是的，是的，是的。
[03:18] [嘉宾-Cindy]：嗯，而且我本身也是大卫翁老师忠实的听众，所以相当于是粉丝见面。
[03:22] [嘉宾-猫草]：对，声音粉。
[03:24] [主播]：然后我是猫草老师多年的公众号读者，所以也是粉丝见面。
[03:29] [嘉宾-猫草]：加了我第一件事就是告诉我说你东西写得没有以前有意思了。
[03:34] [主播]：对不起，对不起，这是一种分，来自于粉丝的鞭策。
[03:37] [嘉宾-Cindy]：没关系，我接收到了。
[03:39] [主播]：这期的缘起是我跟猫草老师说，因为我正好要回国，然后到深圳来嘛，我们来串个台的话录什么，就聊什么。
[03:48] [主播]：虽然猫草老师很想跟我聊日本，但是我最近聊日本聊的有点太多了。
[03:52] [主播]：有点审美疲劳，所以我说，“哎，我们来聊一些跟消费相关的话题吧。” 因为猫草老师也做了很多年的消费分析师，包括Cindy也是。
[04:02] [主播]：对，跟起朱楼的朋友们介绍一下，江东猫草老师和Cindy老师都是原来业内这个资深的消费分析师。
[04:13] [主播]：对，然后呢，现在的这档节目叫做...
[04:16] [嘉宾-猫草]：远行者与碎冰酱。
[04:18] [主播]：真的好难记，你知道吗？
[04:19] [嘉宾-Cindy]：暴露了我们的塑料友谊对不对？
[04:22] [主播]：真的很难记。我的节目叫什么？
[04:24] [嘉宾-猫草]：起朱楼宴宾客。
[04:25] [主播]：啊，可以可以，因为经常会有人叫成起高楼宴宾客。
[04:29] [嘉宾-Cindy]：还有犬生活。
[04:31] [主播]：哦，谢谢谢谢Cindy。
[04:32] [嘉宾-猫草]：而且我也是你的公众号的资深粉丝。
[04:34] [主播]：是吧，可惜我现在都不是说文字写得越来越差了，我是干脆不写了。
[04:39] [主播]：干脆弃更。
[04:40] [主播]：所以说聊聊消费相关的话题，有一个话题其实我一直想找人来聊，就是关于酒店，然后特别是它的积分体系。
[04:48] [主播]：因为我是一个古早年间就开始痴迷于住各种酒店，从最早的商务酒店到后来的度假酒店。
[04:56] [主播]：我来之前看了一眼，我的万豪现在是700多万。
[05:00] [主播]：凯悦大概也有500万。
[05:02] [嘉宾-Cindy]：那也就是说，大老师每一年住在万豪有30到40个晚上。
[05:08] [主播]：真的，以前不止。
[05:10] [嘉宾-猫草]：我这一下我就感觉明显到了经济上。
[05:13] [嘉宾-猫草]：和我们这样的。
[05:15] [主播]：那有没有，只能说明出差狗，就是早年比较辛苦，对，然后...
[05:18] [嘉宾-Cindy]：只能说明早年金融行业的出差标准还挺高的。
[05:22] [主播]：对啊，这个猫草老师是知道的。所以这个话题，原来因为不知道从什么角度来切入它比较好。
[05:30] [主播]：然后跟猫草老师碰了一下，就觉得这个积分，包括会员体系，其实它涉及到很多很有趣的就是话题。
[05:38] [嘉宾-猫草]：没错。
[05:39] [主播]：包括这个心理学，就是为什么酒店要搞这种忠诚计划，对吧？
[05:43] [嘉宾-猫草]：大老师当时就说，哎呀，这个发代币这事不就是航空和酒店两个系统玩丢的吗？
[05:50] [主播]：对啊，就现在大家讨论比较多的像稳定币啊，这些东西的话，其实这个背后的整个逻辑在酒店行业，在航空这个行业都上演过一轮又一轮。
[06:01] [主播]：我们今天可以聊一聊两个里面，当然我知道肯定有异同嘛，就这个时候可能有一些Web3的从业的朋友可能会说“什么，就完全不一样嘛，对不对？这个没有分布式，又没有这个酒店集团想把你积分扣掉就扣掉了”，对吧？
[06:14] [主播]：但是有一些吧，从我们使用者的角度开始看，我觉得还是有一些可以去类比，跟大家聊一点。
[06:21] [嘉宾-猫草]：或者宽泛的说，我们可能也会聊一聊酒店这个东西，它为什么天然的是大集团、多品牌，然后要去做会员体系这回事。
[06:30] [嘉宾-猫草]：因为大家会知道酒店行业在2016年的时候发生了一件非常大的事情，就是当时万豪，全球第一大的酒店连锁，并购了喜达屋。
[06:38] [嘉宾-猫草]：而喜达屋的会员体系呢是公认的这个业内做得最好的。
[06:42] [主播]：是的是的。
[06:43] [嘉宾-猫草]：所以当时的万豪的房间数一下就串升到了全球第一。这个东西呢对于它的整个会员体系，会员忠诚有非常大的影响。
[06:51] [主播]：对，我早年就是从喜达屋入圈，就是最早就是住喜达屋。
[06:56] [嘉宾-Cindy]：最早的SPG粉丝。
[06:57] [主播]：对，然后突然有一天被万豪收了之后，其实当时喜达屋的粉丝们都非常的失望的。
[07:03] [主播]：因为万豪在我们看来就是一个特别中规中矩，然后没有特色，每间酒店长得都一样的一个商务型的这个连锁品牌。
[07:11] [嘉宾-猫草]：没错没错，万豪比较中庸。
[07:13] [主播]：对，然后但是喜达屋其实是千姿百态，非常有意思的，从它的会员计划到它的酒店的这些单体酒店的品牌。
[07:22] [主播]：所以当时其实是一片哀嚎。
[07:24] [嘉宾-猫草]：嗯。
[07:25] [嘉宾-Cindy]：是这样的，所有的扩圈，原来的忠粉都会感觉到很不爽。
[07:29] [主播]：对，然后你就会感觉原来最进取的，然后最有这种进攻姿态的人，最终还是会被一个相对保守，但是更加稳扎稳打的这种吞并掉，对。
[07:41] [嘉宾-猫草]：都是资本的错。
[07:42] [嘉宾-Cindy]：都是大资本的错。
[07:44] [嘉宾-Cindy]：而且你像现在万豪酒店，我看了一下最新的数据吧，因为2016年收购喜达屋之后，确实已经成为了世界第一大酒店集团嘛。
[07:55] [嘉宾-Cindy]：到目前为止，它现在已经有9000多家酒店了，所以这个数量在全球范围内都非常非常的大。
[08:01] [主播]：是的是的，是的是的。
[08:02] [主播]：我觉得可能听这期节目的朋友有一些住过连锁酒店，有一些因为现在中国的这些连锁酒店也非常强。
[08:09] [主播]：大家可能住亚朵啊，住华住啊，都比较多一些，反而对国际连锁，因为我像人在日本嘛。
[08:15] [主播]：日本的国际连锁就其实相对比较少，我觉得中国现在越来越像日本，就它本土的酒店在崛起。
[08:23] [主播]：我印象中，我不知道这几年两位是不是也在研究酒店行业了，就是当时就在类比嘛。
[08:30] [主播]：就什么时候亚朵跟这个华住，当时有一个大扩张时期，包括锦江，去做并购，然后把很多的国际的这个酒店都给这个吃下来。
[08:40] [嘉宾-猫草]：对对对，有一些品牌被买过来或者是联合经营了。
[08:44] [主播]：是的是的。
[08:44] [嘉宾-猫草]：但是中国的契机和日本还是不太一样的地方在于，中国发展的时间比较晚嘛。
[08:49] [嘉宾-猫草]：所以90年代当这些大酒店大举地进入中国的时候，我觉得一开始他们也主打了一个涉外市场。
[08:56] [嘉宾-猫草]：因为在国内一个酒店有没有涉外资质是有差异的。就比如你在北京住到的一些酒店你可能会觉得老外特别特别集中，是因为在北京有涉外资质的酒店本身就没有那么多，就是接待外国人本身就是需要资质的。
[09:11] [嘉宾-猫草]：所以最早就是一些口岸的、开放的、样板型的城市，慢慢地有了涉外酒店。
[09:16] [嘉宾-猫草]：而外资集团呢往往会绑定在某个酒店的常旅客计划里面。
[09:20] [主播]：是。
[09:21] [嘉宾-猫草]：所以很多外资集团的雇员，他会习惯到了一个地方，就要去住这个酒店。
[09:25] [嘉宾-猫草]：所以呢，我觉得最早的好物业，尤其是一些涉外的高档的所谓五星酒店，就被这些外资的大集团给盘下来了。
[09:35] [主播]：我，我不知道两位最早最早，不管是住也好或者说进这种国际连锁酒店的印象是什么？
[09:43] [主播]：因为我，我是小时候，大概90年代，当时我在深圳生活，然后被一个就是，就是刚才猫草老师说的，是一个亲戚，这个亲戚一直在美国工作，在一个大的金融公司，他回国出差的时候就叫我们家一家人去吃饭，然后我就上了深圳当时最高的那个香格里拉。
[10:04] [主播]：当时就是第一家香格里拉，老香格里拉，然后是一个旋转餐厅，我印象特别深。
[10:08] [嘉宾-猫草]：嗯。
[10:09] [主播]：当时旋转餐厅，对吧？就这种...
[10:11] [嘉宾-Cindy]：对对对，就是...
[10:11] [主播]：顶级的，然后...
[10:13] [嘉宾-Cindy]：震惊了。
[10:13] [主播]：是是是。最搞笑的是，当时这个事我自己已经不记得了，是我父母后来告诉我的，说我那天在自助餐，因为它自助餐嘛，吃得最多的是它的茶叶蛋。
[10:22] [主播]：我妈就说“你为什么这么没有出息？” 我说“但是它的茶叶蛋真的很好吃”，就是没有吃过这么好吃的茶叶蛋。
[10:28] [嘉宾-猫草]：我和大老师非常接近。
[10:30] [嘉宾-猫草]：我是三线城市过来的，还不是在深圳。最早的时候，是地产商为了卖房子，然后配套运营了很多高端酒店。
[10:39] [嘉宾-猫草]：他们的这种运营高端酒店往往会把运营的资质交给一个大的五星酒店集团，因为他通过这种办法，一方面是方便招商，另外一方面是在拿地方面他会有一些优惠。
[10:50] [嘉宾-猫草]：所以最早我跟五星酒店有一些近距离的接触都不是因为住店，而是因为吃饭，也就是吃自助这个环节。
[10:58] [嘉宾-Cindy]：我觉得我跟两位的绳索完全脱节。
[11:01] [嘉宾-Cindy]：我就非常。
[11:02] [主播]：主要没有，你主要是年龄跟我们脱节。
[11:04] [嘉宾-Cindy]：我非常的牛马，我觉得我第一次参观五星级的酒店就是我们开策略会的时候。
[11:12] [主播]：啊，对，当年券商的，不现在也应该是，对吧？就是一开策略会一定是去一个五星酒店。
[11:19] [嘉宾-Cindy]：嗯，是的，而且你像我们当时的拆标其实是没有办法资助我们这样层级的小员工去住到五星级的酒店了。
[11:26] [主播]：我们这样的层级也没有。
[11:28] [嘉宾-Cindy]：我们就只能，就是维持在华住呀，亚朵，最多就是亚朵了，然后更下其他小一些的连锁酒店了。
[11:37] [嘉宾-Cindy]：而且我这边给大家提供一个小小的背景啊，就是其实大老师前面有讲到说海外的连锁酒店跟国内的连锁酒店它其实发展的不太一样嘛。
[11:47] [嘉宾-Cindy]：我们这边提供给大家一个数据，就比如说国内现在整体的连锁酒店它的连锁化率大概可能是在40%出头。
[11:57] [主播]：我觉得挺高的，比比我想象中高。
[11:59] [嘉宾-Cindy]：对，40%左右吧，这两年其实发展得特别快，因为有非常多的小酒店它其实是倒闭了的。
[12:04] [嘉宾-Cindy]：就是因为疫情的这个影响。
[12:06] [嘉宾-猫草]：它会翻牌进入到一个连锁酒店系统里面。
[12:09] [主播]：是。
[12:10] [嘉宾-Cindy]：对，这几年尤其是近五年，基本上连锁酒店连锁化率是一个非常大的越升，可能提升了10%左右。
[12:18] [嘉宾-Cindy]：在此之前呢，其实我们在做券商行业研究的时候都会问一个问题，中国它的连锁化率到底会走到什么程度？
[12:28] [主播]：对。
[12:28] [嘉宾-Cindy]：然后这个时候我们会做特别多的对标，那像万豪呀，凯悦呀，这一些它可能属于美国系的一些酒店。
[12:37] [嘉宾-Cindy]：美国连锁化率因为Reits非常的发达，所以它会到70%左右。
[12:41] [嘉宾-Cindy]：但是欧洲非常的不同，它只有30%到40%左右的连锁化率。这个我们当时其实有讨论过非常多这方面的问题。
[12:50] [主播]：嗯，这个我们回头可以在中间慢慢地聊，我觉得应该是个蛮有趣的区别。包括日本为什么连锁率，日本的连锁率应该是我觉得应该是高的。
[13:00] [主播]：就是说我说是商务型的，但是呢没有诞生出真正大的国际型的连锁，也是一个蛮有趣的话题。
[13:08] [主播]：我们现在拉回来，先讲这个会员体系啊，反正我们查了一些资料。
[13:11] [主播]：我我看到最早的酒店业的这种会员忠诚计划应该是从80年代开始的，它其实是受航空公司的常旅客计划成功的一个启发。
[13:22] [主播]：也就是说酒店业在最早是没有这个概念的，他们可能。
[13:27] [嘉宾-猫草]：是航空业先有了积累里程，然后酒店一看，那我的间夜也是可以积累的。
[13:32] [主播]：对，但是我当时看到这个我就在想，其实我感觉酒店业比航空业更需要这个东西。
[13:38] [嘉宾-猫草]：为什么这么说？
[13:39] [主播]：为什么呢？因为你想会员计划最核心的是什么？是吸引一批人，就是因为有了这个计划，所以我就住你这个酒店，对吧？
[13:46] [主播]：那每个人你不管是出差还是出去度假，你到了一个城市，到了一个地方，会有很多的酒店。
[13:52] [嘉宾-猫草]：没错。
[13:53] [主播]：但是你从一个地方移动到另外一个地方，你如果是坐飞机的话，很可能可选的这个航空公司是有限的。
[13:59] [嘉宾-猫草]：相对有限的。
[14:01] [主播]：相对有限的。所以酒店它的同质化竞争，我感觉啊，其实比航空要更严重。
[14:08] [嘉宾-猫草]：我赞同这个想法，就是我从直觉上会觉得一个城市里面可以有无数的酒店，然后甚至包括一个Location周围，它也可以有无数的酒店。
[14:18] [嘉宾-猫草]：而航空这个东西，无论你做了几等舱，它始终是从A地到B地这么一个过程。
[14:24] [主播]：是。
[14:25] [嘉宾-猫草]：就是它相对来说不可替代的，而且这个资源比较稀缺。
[14:29] [主播]：比较稀缺。
[14:29] [嘉宾-猫草]：但酒店完全不一样，所以酒店其实更需要有一个系统去吸纳它的会员，保证它的会员在反复地复购。
[14:37] [主播]：是的是的，是的是的。
[14:38] [主播]：所以你看到它虽然是受航空业启发，有了这么一个东西，但最终的发展，它的千姿百态是比航空业多得多。
[14:45] [嘉宾-猫草]：啊没错，嗯。
[14:46] [嘉宾-猫草]：而且航空能够提供的供给端还是相对比较单一。酒店这个东西是天然的多品牌集团。
[14:54] [嘉宾-猫草]：就是酒店的多品牌程度甚至跟化妆品公司有点像。因为它不同的人群，不同的拆标，不同的线级，它对酒店的所谓的有限服务还是更无限的服务有不同的要求。
[15:07] [嘉宾-猫草]：这里我们引入一个概念，Cindy可以给大家解释一下，就是过去我国的整个酒店体系跟西方一样，它是12345星，然后这个星级呢是由酒店业协会专门来评定。
[15:19] [主播]：就国际也是这样的。
[15:20] [嘉宾-Cindy]：对，它会有一些硬性的标准，我打个比方，一个五星级酒店是要有配套有游泳池的，然后要配套的有发廊，要配套的有精品的，精品店。
[15:29] [嘉宾-Cindy]：对，就是放在酒店里面卖的那些东西。
[15:32] [嘉宾-Cindy]：就是它有一些为了会议而设置的偏精品的标准。
[15:37] [嘉宾-Cindy]：但是呢这个东西在后来慢慢地在国内式微了以后，因为他们很多人物业物业特别老，很多酒店。
[15:43] [嘉宾-Cindy]：就是在中国，其实物业的新旧判断一个酒店的舒适度是非常有效的，但在海外不是，在欧洲和在日本都不是，一会儿我们可以聊到这一点。
[15:53] [嘉宾-Cindy]：然后由于这些东西式微了以后，国内的OTA开始崛起。
[15:58] [嘉宾-Cindy]：你会发现你不再依托于星级计划去评判一家酒店好不好了。
[16:02] [嘉宾-Cindy]：你大概看一看它的位置，然后打开你的百度地图、高德地图、谷歌地图，你就能看见它离你的这个会场到底有多远。
[16:11] [嘉宾-Cindy]：然后这个时候呢你就可以去携程、同程、去哪儿、飞猪上面，去查找到大家对这价酒店的评价。
[16:18] [主播]：对。
[16:19] [嘉宾-Cindy]：所以有了OTA和这个OTA的会员反馈以后，大家不依托于星级这件事情去做自己的决策了。
[16:27] [嘉宾-Cindy]：于是呢国内就开始产生了一些新的就所谓有限服务型的酒店。
[16:33] [主播]：我打断一下，其实还有一个原因，我印象中就是因为很长一段时间中国的，特别是国企跟政府开始限制，不允许大家用五星级。
[16:43] [主播]：就是相当于你会议，包括你如果住宿，五星酒店是被排除在外的，包括你请吃饭这种事情，就是它是直接严格规定的。
[16:51] [主播]：所以呢，当时有一批五星酒店甚至就是央求酒店业协会，就是“把我，对，把我的五星拆下来，我我不要这个五星级，因为一旦有了五星级，我就少了一大块的客流量。”
[17:03] [嘉宾-猫草]：啊没错。
[17:03] [嘉宾-猫草]：这个在成交的那些偏度假的酒店还特别常见，就是会议酒店、温泉酒店，专门为了接待国企和偏体制内设置的。
[17:11] [嘉宾-猫草]：它们都是通通不挂星不挂牌的。
[17:14] [主播]：是的是的，大概是10年十几年前那。
[17:16] [嘉宾-猫草]：对，因为八稳定位定大概在12年左右。
[17:18] [主播]：对对对对对。
[17:19] [嘉宾-Cindy]：嗯，但是有限服务型酒店其实还不太一样。
[17:23] [嘉宾-Cindy]：嗯，说到这个的话，我还可以再补充一点，就是其实每一年星级酒店的标准它是会调整的。
[17:31] [嘉宾-Cindy]：我记得好像最新的一期的五星酒店它的标准在2024年，然后这个标准比上上一次的标准可能是在2018年，它的标准是降了的。
[17:42] [嘉宾-Cindy]：这个有非常大的一个原因是星级酒店的业绩不行了，因为有非常多的人群它其实是从原来的星级酒店的住客变成了我们现在精品有限或者是精选有限的这样的一个人群。
[17:58] [嘉宾-Cindy]：所以就导致他们如果维持原先的这样的一些设施、门店，他们没有办法维持它的一个运营的成本。
[18:06] [嘉宾-Cindy]：所以它干脆把这个标准往下降了。
[18:08] [嘉宾-猫草]：所以我觉得这个东西，就是星级酒店在国内的这种式微，它有好几方面的原因，但主要还是评价的体系被取代了。
[18:17] [嘉宾-猫草]：以前你整个决策是依托星级来进行的，后来星级的物业也老了，你发现它好像也没那么好。
[18:24] [嘉宾-猫草]：然后完了以后呢有两种办法可以替代你的决策，一种是我刚才所说的，不管你是美团大众点评还是携程，你通过OTA的系统，你看到了它的评价。
[18:35] [主播]：对。
[18:35] [嘉宾-猫草]：所以你看到了一些用户的真实反馈，那另外一个就是用品牌替代了星级。
[18:41] [嘉宾-猫草]：由于一个酒店集团里面的一个品牌，它的装修标准是硬的。我打个比方，比如说它是一个非常普通的连锁，有限服务的连锁，它可能每间的装修标准是8到11万。
[18:53] [嘉宾-猫草]：然后这个套内可能是一个18到20平，你连它用了什么样的隔音材料，都是大概可以判断的。
[19:01] [主播]：我感觉听起来就像万豪的万怡，或者是这个万豪，对对对。
[19:06] [嘉宾-猫草]：它就会变得非常标准，就是一个酒店每个房间该有多大的面积，单间的装修标准大概是什么样子的，你其实内心都是知道的，尤其是如果你是一个会员计划的常旅客，你会知道这个会员计划底下每一类不同品牌的酒店大概是一个什么样的标准，针对的是一个什么样的客群。
[19:26] [嘉宾-猫草]：所以品牌这个事情，它替代了所谓的星级，成为了大家的筛选标准。
[19:31] [主播]：对，我感觉这个其实就是西方这些国际连锁酒店灌输的一个理念，因为以前在中国人，就是很小很早很早以前大家会说三星级，四星级，五星级，对吧？
[19:41] [嘉宾-猫草]：没错嗯。
[19:42] [主播]：但现在呢，你包括像国内的连锁酒店，大家也会分成不同的品牌，可能亚朵是个什么，亚朵S是一个什么品牌，对吧？
[19:49] [主播]：那海外就更是这样了，就我们刚刚讲到最早引入这个中层计划的是这个...
[19:54] [嘉宾-猫草]：Holiday Inn。
[19:55] [主播]：对，Holiday Inn嘛，其实是现在是洲际集团的一部分。但同年，就1983年同年万豪就把自己的会员计划推出了。
[20:03] [嘉宾-猫草]：没错。
[20:03] [主播]：然后希尔顿是87年，凯悦是95年，整个80年代到90年代各国际连锁酒店都在推这样的会员中层计划。
[20:11] [主播]：然后那个时候我感觉大家的品牌还没有现在这么多，就现在恨不得一个酒店集团有四五十个品牌，像多的，像万豪。
[20:19] [嘉宾-猫草]：就是它真的跟化妆品一样，属于把人群进行了无限的细分，甚至它不光是分人群，它连你的需求都分了。
[20:27] [主播]：对，我刚想说。
[20:27] [主播]：是分每个人的你在不同的场合下的需求。
[20:32] [嘉宾-猫草]：对，比如说你的拆标是多少，那你的商务型酒店是什么样的？那你出出游的时候你是一个体验型的，是一个享受型的，还是一个每天去跑路的人？
[20:41] [嘉宾-猫草]：就是它会分的无限细，甚至有的时候我们细到了让我们都觉得“啊，这有必要吗？”那种程度。
[20:47] [嘉宾-猫草]：就是我们经常去参加一些酒店公司的一些业绩发布会啊，就包括他们讲自己的品牌计划。他说，“哎，我们这个酒店是个电竞酒店。
[20:54] [嘉宾-猫草]：所有人进来以后都知道它是一个电竞的配置，然后这是一个咖啡酒店怎么怎么样。”
[21:00] [嘉宾-猫草]：就是它把你的需求进行了无限的切割。
[21:02] [主播]：但我觉得从这一点上中国的酒店集团跟海外还不太一样，你像猫草老师你刚才说的这几个都是典型的中国的酒店集团会去干的事情。
[21:10] [主播]：是分的什么咖啡的，什么电竞的这些。
[21:13] [嘉宾-猫草]：没错。
[21:14] [主播]：但是你看海外的，它会比较喜欢用比如说生活方式类，然后偏野奢，就是偏这种跟自然沟通。
[21:22] [主播]：然后你像Westin其实最早在打它的运动，等等的，我感觉是把它分成了这种你的生活的方向。
[21:30] [嘉宾-猫草]：Lifestyle。
[21:31] [主播]：Lifestyle，包括你住这个酒店的目的，没有人是为了咖啡去住一个酒店的。
[21:35] [主播]：所以我一直对类似这样的一个分类非常的疑惑，就是它是为什么要有这样的分类？
[21:42] [嘉宾-Cindy]：有有这样的疑惑就对了，因为它有一点点是伪需求，我自己的感受，所以你会发现国内很多时候提出来的这些需求场景的酒店，比如说电竞酒店，比如说咖啡酒店，它其实运营的并不是很好。
[21:56] [嘉宾-Cindy]：因为你想如果是打电竞的人，我第一，我药不然首选可能是在这个电竞房。
[22:02] [嘉宾-猫草]：网吧。
[22:03] [主播]：就是。
[22:03] [嘉宾-Cindy]：网咖对吧？然后呢，或者说是这个，我干脆包四个小时的时间我就在这儿打游戏，我可以不用住嘛。
[22:09] [嘉宾-Cindy]：那这个对他来说可能是更划算的。
[22:13] [嘉宾-Cindy]：然后呢咖啡这个东西也有一点点的伪需求。如果你想现在我们茶饮咖啡竞争多激烈了呀，我9块9我就可以买到一杯横，牛马可以享用的咖啡了。
[22:24] [主播]：对。
[22:24] [嘉宾-Cindy]：根本就不会因为要住酒店，然后去住一个咖啡酒店，这个其实是非常伪需求。
[22:29] [嘉宾-猫草]：但那个时候细致地去切割大家的需求还是有点经济上行期。
[22:34] [嘉宾-猫草]：就是现阶段可能价格成为了第一主宰的因素，就是它的占比会更重一些。
[22:39] [主播]：当时大家还追求一些就是有特色，或者是这个有什么亮点，这个酒店跟其他酒店有什么区别，然后可能这种市场部门，营销部门就开始疯狂地动脑筋，然后想出了类似这样的。
[22:51] [嘉宾-Cindy]：我觉得是这样的啊，我，自己有一个理论可能跟现在有一家酒店公司它自己提的这个理论非常的相近。
[22:59] [嘉宾-Cindy]：就是它提的理论是一个倒三角的模型，就它觉得品牌如果你是越往低价走，越大众化的，那它就应该用一个比较普适的一个品牌去推就可以了。
[23:11] [嘉宾-Cindy]：因为这个在这个人群里面，它对于品牌的需求，或者说对于酒店的这个需求，其实就是最开始最开始的那个BNB。
[23:20] [嘉宾-Cindy]：BNB就是有限嘛，bed and breakfast，就有这两个东西。
[23:25] [主播]：有够床，有够早餐就够了。
[23:26] [嘉宾-Cindy]：对，所以这个就是为什么说我们最下层，最大众的反而最普通的这个需求。
[23:33] [嘉宾-Cindy]：但是随着你的需求越来越往上，你的价格带越来越往上移，你的需求其实是会越来越多样化的。
[23:41] [嘉宾-Cindy]：所以当你的价格带进入到一个中高档，甚至是高档跟奢华的时候，它才会出现这样的生活方式一些场景上的变化。
[23:49] [嘉宾-Cindy]：也就是我们日常当中看到的外资酒店，它有非常多的生活方式的一些品牌。
[23:54] [嘉宾-Cindy]：这个是因为它的价格带本身就是在高档以上，它是可以去承接的。
[24:00] [嘉宾-Cindy]：但如果说我们提到的咖啡酒店或者说什么电竞酒店，它的价格带是在一个中档以下，甚至是经济型的。
[24:11] [嘉宾-Cindy]：这个肯定是不work的嘛。
[24:12] [主播]：我觉得你说这个非常有道理，是因为我觉得在想包括万豪啊，然后凯悦啊，他们如果你往商务那个形态去走，其实它的酒店品牌相对来说是少的。
[24:21] [主播]：你比如说万豪就是以万豪这个主品牌，然后万怡，万丽，对，它其实稍微里面有一点点细分。
[24:28] [主播]：然后包括很多的品牌为什么会有，是因为它是并购嘛，就酒店业的并购，这个你们俩肯定比我清楚，就特别多的这种并购之后我可能保留了原那个品牌。
[24:39] [主播]：但是呢你越，你如果往上走，走到奢奢持型，顶奢型，反而它的这个分类会变得很细分。
[24:46] [嘉宾-Cindy]：是的。
[24:46] [主播]：但是如果你走到最顶奢的时候，它又变成一，就很有趣，你像安缦，对吧？
[24:51] [主播]：你去看这个...
[24:54] [嘉宾-猫草]：六善。
[24:55] [主播]：对，六善，Six Senses，包括Anantara等等的这些，它又变成就用一个品牌，我就打这个。
[25:00] [主播]：你甚至包括像四季、文华东方，它们都完全没有说我要再分出不同的品牌来嘛。
[25:05] [嘉宾-猫草]：哎，我觉得我，对这个事理解是这样的，就是非常中低端的酒店，有限服务型的，它一个是针对的人群可能是最大的人群。
[25:14] [嘉宾-猫草]：那另外一方面呢，这些人的出行可能也不是特别的频繁，所以呢它需要一个大众化的品牌来提供一个大致可享的BNB服务。
[25:22] [主播]：对。
[25:22] [嘉宾-猫草]：所以呢，它需要的东西是规模效应，因为它几乎全是加盟型的酒店，然后它要快速地让加盟商知道我的物业标准是什么样的，我的门槛是什么样的，然后我需要规模效应，把它推开。
[25:34] [嘉宾-猫草]：然后以我的这个酒店的CRS系统或者你叫酒店的自己的App作为一个预定的接入孔，来给大家提供这种双边规模效应，就是我越来越多的终端，然后更多的提供更多的选择，更多的服务，这样我的用户和我的这个就是我的供应商和我的用户两边就进行了一个飞轮效应。
[25:54] [主播]：嗯。
[25:55] [嘉宾-猫草]：但是呢，对于那些真正比较高线的，需求很多元化的人群来说，一个人是他真正的常旅客。
[26:02] [嘉宾-猫草]：他可能商旅也很多，然后他的度假出行也很多，他的亲子也很多，就是他本身出行的需求是特别多的。
[26:08] [嘉宾-猫草]：然后其次呢，就是这些酒店完全没有规模效应。就这一个品牌做出来了以后，它是没有规模效应的。
[26:15] [嘉宾-猫草]：你想刚才大老师举到的例子，文华东方安缦，在中国才几家店。
[26:20] [主播]：对。
