## 中文播客音频转录

[00:00:00] [嘉宾]：逻辑上来讲，我觉得媒体朋友大家写的东西我还是得尽量的就得稍微注意一下，因为借壳这个事情，科创板是不让的。包括这个今天上午还有很多两三个创神给我发，说你怎么样看至远的这个事情，我们能不能尝试类似的这个动作？监管的审核永远是一把这个高悬的剑，需要去维护所有这个股东的权益。
[00:02:20] [嘉宾]：我补充一下，就是邓太华之前是华为的算是中高管吧，他是华为计算线的老大。然后计算线现在最重要的产品就是非常关注AI的人都不会陌生的昇腾。他其实是通讯背景出身的，就是纯从技术背景上来说，他并不是和机器直接相关的。但像这个公司里的彭志辉、王闯、姚茂青，包括应该是今年刚来的之前在博克力罗建兰，他们都是比较厉害的中青年的机器人的技术专家，或者说在业界有经验的人。正好这次收购的一些公告里面，我们可以看到至源它部分的持股情况。我会把上伟新材料这次发的详细权益变动报告书这个文件的链接放到show notes里。这个报告里也有一些股权结构图，图我也汇报到show notes的插图里。从这个股权结构图，包括我们自己也去查了一些上层股东的出资比例，智源公司也就是上海智源新创技术有限公司，这个主体之中邓太华的持股是超过了24%。这个是对应到它的收益的。当然现在这个持股里就是可能包含了它留给核心团队的一些期权。而它控制的智源这个公司的投票权是超过了47%。至于代表智源出面比较多的彭志辉的持股，就这次的文件里我是没有看到的。之前有一些公开信息，比如说24年上半年的时候投中网就有一篇报道提到彭志辉的持股是不大于5%。然后比较有意思的一点是，就是在上维新材料的这个详细权益报告书里我搜了一下，邓太华是出现了39次，彭志辉只出现了一次。那我们可以继续收回这个交易。如果按照文件来说，比较准确的表述是智源公司还有智源的核心团队相关的两个主体，叫做智源衡越和智源新创合伙，就这两个主体用7.84亿元人民币收购了上伟新材料的29.99%的股份。然后卖这些股份的又是分了三个主体卖的，一个叫Swan Core萨摩亚，一个叫Strategy萨摩亚，还有一个是叫金风头控。那这三个主体里前两个主体是和上伟新材料的创始人有关的。然后第三个主体金风头控，它是上伟之前的一个表大股东，金风科技的一个相关主体，就是按照文件表述是这样。正好也澄清一下，就是我看到有些报道里提到智源是花了21亿人民币去买了上伟新材。实际上真的已经发生的交易是买了29.99%的股份，总价是7.8亿多。但公告里写到了，未来也有可能会继续买最高可能会买到66%的股份。这样的话是对应到21亿。

[00:05:08] [主播]：王超你也可以用就是一般人比较能理解的，或者说比较直白的方式来讲讲吧，就是这到底是个什么交易？

[00:05:14] [嘉宾]：其实最简单的就是他室用钱买了一个公司，就是后面的都是大家猜测的，就是最最简单的一个逻辑啊，他花了大概7.9亿是吧，然后买了一个公司对应的股份29.99。这个因为对面原有的这个实际控制人和这个相应的这些关联的主体放弃了这个投票权，所以导致呢，他虽然不是最大的这个单一股东，但是他依然持有这个公司的这个相对多数的这个投票的这个表决权。所以这样的话，他实应的会成为这个接下来的公司实际控制人。

[00:05:45] [主播]：OK，就是在中国这个法律之下，你站到30%左右，然后你有投票权你就是实控人了。因为我觉得这个要给听友解释一下，因为可能大部分人会认为你得超过50%，你才会是这个公司的老板。

[00:05:56] [嘉宾]：那个叫绝对控股。其实绝对控股就是您看上委新材这家公司过去您看它的持股比例应该也是这个Swan Cap和这个Strategy那个主体，其实是持有超过51%的股比的，那个叫绝对控股。所以在目前的这种情况下，这个对于这个邓总啊，邓太华总这个定义应该叫相对控股。相对控股的角度其实更多意义上是从投票表决权的角度去理解的，而不是从股比的角度去理解的。其实在他们的公告里面，其实已经写清楚了，说虽然说邓太华总和他的关联主体只收购了29.99%的股份，但是呢，因为这个公司要看表决权，不一定要看你的持股比例。

[00:06:38] [嘉宾]：好，过之前这个阿里巴巴这个马云为什么投票权那么多？因为大家都都放弃或委托了表决权，这样的话，其实他持股比例即使很少，也能控制这家公司的这个日常经营数。在公司的治理结构上两层，就是中国的这个公司制啊，上层的股东会，然后另外一层叫董事会，对吧？董事会决定日常经营事项，然后股东会决定重大事情，所有的的事情基本股东会能决定。只是他授权这个董事会去执行日常的一些经营事项。则是一个公司治理结构。那在这个案例里面，其实很明显嘛，他虽然没有持股到51%，但是这个公告里面，其实也把它定义为接下来的公司的实际控制人。那是因为原有的这个实际控制人这个蔡朝阳总放弃了这个相应的表决权。

[00:07:23] [主播]：这个事情现在是已经通过了嘛，还是说我们之后还会有什么流程？

[00:07:27] [嘉宾]：会有的，那个其实他只是发了一个停牌公告，停牌的公告，然后公告这些事项，包括这个解释权益变动书。那在一般业的流程里面，发公告之前，其实所有的这个协议啊，包括这个条款基本都已经确定了。接下来需要等待监管的审批。

[00:07:43] [主播]：所以现在还在审批的过程当中。

[00:07:45] [嘉宾]：是的。

[00:07:45] [主播]：一般是多久啊？

[00:07:46] [嘉宾]：这个不好说。这个取决于说这个监管的这个审核的速度啊，包括这个监管对这个事情的关注度。

[00:07:53] [主播]：总之就是最终那个公告出来之后才可以说他这个29.29.99的股份虽然他买到了。

[00:07:58] [嘉宾]：对，监管那边会给一个通过，一个发了函，然后他们会发公告，然后比如说这个内部会写清楚说我们通过了这个审核，但是从我们过去这个经验的角度来讲，不会出现比较大的这种偏差，因为这是一个你情我愿大家一起谈的事情。

[00:08:14] [主播]：因为他这一次是实际他买的都是29.99，但他同时在这个公告里也提到了就是他未来可能会再收购33.63%到37%。

[00:08:23] [嘉宾]：我喜欢你刚才那个词叫可能会。他现在要约收购价格是7块7毛8。是否可能会，我反问您这个问题，就是中小股民是否可能会在现在的价格13块7，还是13块8，这个收盘价13块7，13块8的角度，然后按照7块7毛8的邀约收购价格卖给邓总，会不会？

[00:08:41] [主播]：不会。

[00:08:41] [嘉宾]：对啊。因为他可以在二级市场去抛嘛，对吧？抛13块或12块也能交易的出去，现在量也很大。所以呢，他更多，我觉得是是属于一个友好的要约的gesture信号，给到这个大众说如果你愿意跟着蔡总。

[00:08:58] [主播]：那回到大家最关心的问题，就是智源花钱买了公司。按照他们现在的回应，这并不算借壳，那它实际上是什么呢？通过这种操作，智源有可能成为人形机器人的第一股吗？

[00:09:11] [嘉宾]：刚好这个借此机会呢，这个也表达一下我来之前啊，其实我们公司的这个同事也提醒了我一下，说这个真真正正二级市场的一些交易，尽量发表的这个言论不要过于的这个深入或者是涉及到一些这个规章制度。就是这跟一级市场不一样，一级市场比如说这个不管是光年之外还是其他的公司，毕竟它是跟美股市场的一个交易，对吧？比如说美团或者在市场上的这些公司，其实你说什么东西，其实属于说市场rumors，对吧？二级市场上是有这个专门的制度去规范所有的这个言论的。所以包括这个您会发现在这次的交易里面，邓太华，他只是通过公司的方式去做了一个披露，然后蔡朝阳，从来都没有说过任何的话，包括他们的董秘，包括他们的这个总经理，没有任何的言论披露，这是这个有严格的这个管制了。所以呢，我觉得在说之前，其实我我来之前载路上也想了一个一个点八个字，真真正正二级，尊重监管。就是在二级市场这个交易跟一级市场交易是完全不一样的类别。因为借壳有严格的标准。

[00:10:11] [主播]：可以水一下。

[00:10:12] [嘉宾]：资产、收入、净利润，然后净资产超过了100%，就是你你要注入进去的东西的这些线超过了那个二级市场的公司的这个这个这个比例。

[00:10:23] [主播]：就超过了原有的可转100%。

[00:10:24] [嘉宾]：对，比如说他收入一亿，然后你注入进去的资产可能是两亿的收入，那就是触发，只要触发一项就触发了。

[00:10:29] [主播]：只一就触发了。

[00:10:30] [嘉宾]：对吧，你刚说只一触发。触发只一就触发。它的规章制度是非常严格的。所以其实逻辑上来讲，我觉得媒体朋友大家写的东西我还是得尽量的就得稍微注意一下，因为借壳这个事情，科创板是不让的。

[00:10:44] [主播]：就我想问的就是说，科创板它不能借壳，这是有一个硬性的规定不能借壳吗？还是？

[00:10:48] [嘉宾]：就是不能借壳。

[00:10:49] [主播]：就是不能借壳。

[00:10:50] [嘉宾]：就是他从并购重组管理办法的角度，他就不让你去做所谓的借壳这个动作。所以智源他没有办法去向市场说任何的东西。他只能含糊其实的说那这个事情其实不触发这个重大三层重入，不触发借壳，只是我们买了个公司。仅此而已，结束。所以这个用词都得都得克制。

[00:11:09] [主播]：那智源做的其实只是一个并购什么？

[00:11:12] [嘉宾]：其实智源现在正在做的事情，其实就是类借壳，叫类借壳的点就是它尽量的规避这几条100%的这个线，去做一个类似于资产的注入。可能用资产注入这种方式表达可能更好一些。然后包括这个上交所这个科创版的并购重组管理办法，其实它也严格要求，科创版跟其他板块最大不一样的点在于科创板很新哦，对不对？然后通常情况下大家对于借壳这个事情，其实表述的时候，其实大家会觉得就是你把一级市场的资产放到二级市场，然后借了个壳。原来壳可能业务不好，对吧？你把它的业务重新地改制一下，变得更好的业务。但逻辑上来讲，就人资行情的角度，壳不是一个就是风盈的东西，对吧？它的现金流可能没有那么好，对不对？它的业务可能在下滑。但大家有没有发现科创版其实没有那么老啊。

[00:11:59] [主播]：所以它没有那么多枯萎的壳？你这个意思。

[00:12:01] [嘉宾]：即使有枯萎，也不能现在枯萎。就是需要有更长的时间去发展，因为他现在是在蓬勃的青年时期，甚至不是壮年。所以这个从不管是从这个监管的角度还是这个并购重组的角度，就是实操的角度，都得注意一下这个用词的准确性。就是所以借壳在目前这种情势下，我觉得智源肯定是不做任何披露了。但他会可能会做一些可能会做一些类借壳的事情。

[00:12:28] [主播]：你的意思就是说科创板这个东西，就政府当初搞这个东西，对吧？然后搞到现在它还是一个八九点钟的太阳，它不存在说我之前放上科创板的公司就要被借壳了。

[00:12:40] [嘉宾]：No comments, no comments.

[00:12:42] [主播]：OK，我get你说的意思了。就科创板的质量应该是很高的公司。

[00:12:45] [嘉宾]：他上来就应该是很高的。

[00:12:47] [主播]：应该是很好的公司。他就是有科创属性的，就是有持续发展能力，有潜力的。

[00:12:51] [嘉宾]：它是在青年，其实整个板块其实还是很年轻，也很支持科创。很多新技术企业。

[00:12:56] [主播]：那如果说在科创板现在严格意义上的借壳是不被允许的，那类借壳或者说并购重组具体到智源这个案例里，它能不能实现实质的上市？

[00:13:07] [嘉宾]：所有人都知道说所有人都期待智源未来把他的这个人形机器人的这个资产逐渐的放到这个二级市场的壳里面。但如何做到？就如何做到？比如说现在它已经变成这个上市公司的这个控股股东，它如何做到把自己的公司一级市场的公司资产放到这个公司里面？

[00:13:25] [主播]：我想先问一个问题，就是你说的这个资产是指什么？就是指钱吗？

[00:13:29] [嘉宾]：就这家公司呀，大家期待的不就是这个嘛，这家公司上挂着property，对吧，IP，然后挂着很多人，很多科学家。

[00:13:35] [主播]：团队，有收入。

[00:13:37] [嘉宾]：之前有听说过说是一亿的这个什么量产出货的收入，对吧？然后这种情况下你不是得装进去吗？我觉得大家应该期待的应该都是这个嘛。

[00:13:46] [主播]：对，如果他做到了这个，我觉得他就是一般人理解的，就不管他在法规上。

[00:13:50] [嘉宾]：对。

[00:13:50] [主播]：叫什么，他就是一般人理解的这种类借壳。

[00:13:53] [嘉宾]：是。逻辑上来讲，大家的简单理解就是你卖给他嘛，对吧？卖给这个上委新材，然后去工商那边变更一个名字，从上委新材变成智源机器人。好，所有的事情ready做完了。但是这个A股是强监管的，就是你要去是做这种合并，吸收合并，把它变成二级市场的一部分，变成子公司，然后只有你通过这种方式，智源机器人的股东翻到上面去，对吧？相当于做一个叫发行股份购买资产，只不过这个资产到时候是多大的这个估值，市值啊，包括这个资产，包括收入有多大，是不是有触发借壳，到时候我们再讨论。但你必须要通过这种方式，发行股份购买资产的方式跟对面的股东去做股份置换，对面的股东才能翻到上市公司头上，变成上市公司股东。这才叫一次完整的这个叫吸收合并的一个过程，那他们就完成了自己交易嘛。如果大家按照大家的理解，通常理解推演的话，但是呢，大家都知道这个所有的这个并购重组都要经过并购重组的审核。上市的如果触发借壳上市，那就是一个叫视同IPO审核。那跟他自己上市没有任何区别。所有这个底稿，所有的这个监管的要求都一模一样。

[00:15:01] [主播]：所以你的意思就是说如果他想把智源的这个资产装到这个上市的公司里，其实他面临的。

[00:15:06] [嘉宾]：不是他自己想怎么干就怎么干。

[00:15:08] [主播]：对，他就很严，跟IPO是一样的。

[00:15:10] [嘉宾]：如果你触发借壳的话，就是IPO一样的。

[00:15:12] [主播]：可你刚才说科创版是不能借壳的。

[00:15:14] [嘉宾]：对，我是说顺着你，就大家的角度去说嘛，大家不是期待这个东西最终会翻上去嘛。但你可以做类借壳啊，就是它不是一个借壳，它是个叫并购重组。

[00:15:22] [主播]：那如果是并购重组，就类借壳的并购重组不需要上IPO审核的那么严？

[00:15:26] [嘉宾]：不需要。你只要证明你不是这个重大三层重组借壳这种这种方式，所以你就会相对来说审核会简单一点。但是这里面呢，科创版的这个并购重组的要求是这个叫协同嘛。这是并购重组管理办法里面严格要求科创板跟其他板块的并购重组最大的不一样的点在于说在其他的板块，比如说深交所的这个创业板或者是上交所的卢板，你是可以尝试跨行业做这个借壳或者并购重组的，但是科创版不行。科创版的要求叫协同，什么叫协同？业务一致、类似，然后能够有上下游的结合。其实大家可以去搜索一下，我觉得很多的新闻其实蛛丝马迹都在新闻里面。大家可以搜索一下上伟新材的某个上伟新材的高管有发表过一些言论，包括说这个有人问他，说你们的过去的业务跟聚升智能有没有关系？他有说这个就是有一些关系了。我觉得很多蛛丝马迹都在这里面嘛。

[00:16:21] [主播]：有个2月份的，有投资者向上伟新材提问，请问董秘，贵公司的可回收复合材料能用于人形机器人身上吗？公司是否已与机器人公司做了测试？公司回答表示尊敬的投资者，你好，人形机器人外壳及配件产业目前还是以热塑型材料为主。公司产品材料系热固型的环保，耐时数只测试的方向是工业型机器人产业。

[00:16:46] [嘉宾]：会有一些这个信息，尤其是后期的的话，如果说有一些这个这个信号表明说这个准备进行并购重组这个动作，因为现在的话，它变成实际控制人，也得有这个就是维持这个公司的这个要求，应该36个月吧。那36个月的话，他得去，如果我理解的话，这个望家揣测啊，就是不不付任何责任，就是他肯定会逐渐在内部会培育一些类似的产业，然后让公司的主营业务逐渐朝向一个这个更加的fancy或者更加智能的角度去梳理这个业务。那之后呢，如果通过一些并购重组的这个操作，其实可以做得到的，因为至少有协同嘛。

[00:17:23] [主播]：那我再回过头来问一个问题，就是那这件事情就是即使执行到最后它也不可能是一个借壳上市的一个动作。

[00:17:31] [嘉宾]：不会，只要他选择了科创板，那最后就是个并购重组的一个操作，如果说最后要执行的话。当然如果不执行的话，我觉得朝朝股也挺好的。所以其实包括并购重组的话，其实有有严格的要求了，如果我没有记错的话，这个有几个要求，现在智源可能还达不到，比如说最近一年的营收要达三个亿，然后持续经营三年，智源看来到现在应该没有注册到三年吧。他要持续经营三年以上，然后需要三亿的收入，然后需要连续三年这个经营性净现金流超过一亿人民币。这个其实挺难达到的，叫经营性净现金流，就是你挣的钱。很简单就是公司你你卖东西，然后净利润，然后扣掉一些应收应付的东西啊，这个然后变成你的working capital，叫net working capital。而且逻辑上来讲，为什么说这次的这个交易大家理解有点过于前显，包括为什么我觉得现在在目前讨论这个借壳，亦或是说并购重组的方式去完成这次交易，所有交易啊，就是按照大家的理解去完成自己交易，是一个我就为在上草的一个过程，是因为不仅是需要有一些是标准和要求，另外一点就是它的估值报价其实也会比较难。为什么是估值报价比较难？其实大家可以查还是一样的，叫尊重监管。什么叫尊重监管？在这个角度的尊重监管是说并购重组的方式，它是这个有监管的要求，就是你收购它不是要有个对价吗？比如说上伟新材，按大家的理解吧，就是要借壳，对吧，好，那要上伟新材叫发行股份，就是新增股份去购买这个智源科技。这个按大家的理解去去说，完美的角度，我不想影响任何的股票，我是说这个这个从专业的这个这个收购的角度，发行股份购买这部分资产，把他们的股东翻到他们头上去，这是个交易。那审核的角度，它是需要针对你收进来的资产进行一定的检查工作的。怎么检查？收入、利润、净现金流，对不对？其中对于估值对价是有严格的限定和标准的。从过去A股市场的并购重组的这个对价的角度来讲，从2022年，我我们简单看了一下数据，不一定精准啊，这个属于说大概大家聊天，我们看到的这个对价的标准，从2022年到2024年，全年的数字计算，从15到12倍PE。什么意思？如果智源能够做出一个亿的净利润，乘以15或乘以12，因为24年的标准是乘以12，那就是12亿人民币，就是您是这个除他们实际控制人之外的这些股东，您投了150亿的估值，然后现在跟你讲说你要按到12亿收入上公司里面，心里面是怎么感觉？它还得符合各种审核的标准。

[00:20:06] [主播]：对，所以它的难度是极高的，并不是说大家想怎么样去做，就是怎么做。

[00:20:09] [嘉宾]：还是一样的，尊重这个二级市场，尊重监管。

[00:20:13] [主播]：哦，那我想问一个问题啊，就是因为这一次事情之后又有人会解读说智源会抢在于数前面成为所谓人形机器人第一股，这个其实从各种流程还有监管的角度来说，基本上是不太会这样的是吗？

[00:20:27] [嘉宾]：对，但从刚才我说的那个股民130块那个已经成了嘛，对不对？他已经他已经成了呀，但他可以选择其他的一些方式，比如说这个逐步注入，包括说这个比如说这个在A股的监管角度来讲，你做一些现金的收购会比较简单一些，就是如果你不发行股份的话，因为有些现金的收购，只要你对价相对合理啊，比如说我出两个亿买了一家公司，那这个东西其实是没有任何问题了，因为给现金嘛，公司账上现金，上委新材的现金去买了一家公司，不一定是智源啊，因为我知道我我之前也聊过智源也投了很多的产业链的上下游嘛。这个我我之前是不太get到这个point，但是现在看起来也有些意思啊，就是说比如以后我不知道会不会比如周边的这些公司收一收，对吧，上到上市公司里面，也挺好的。但是用纯现金的方式可能更好一些，因为监管的角度会稍微会轻松一些，但只要你发行任何一股股份，都得上并购重组委，都得符合标准。因为还是一样的角度，尊重这个二级，尊重监管。监管的角度要保护中小股民。任何一股的这个发行新股的稀释都会稀释除实际控制人之外的其他中小股民的权益。所以监管的角度需要去确保这种发行和稀释对中小股民的这个利益是有合理的保障的。这就是监管要尊重监管的这个视角。这么说吧，我说一个比较比较有意思的事情，再回到人性的角度来讲，您觉得智源的股东，就除了实际控制人之外的其他股东，它在这次交易里面获得了什么？

[00:21:58] [主播]：会获得更好的流动性吗？

[00:22:01] [嘉宾]：我刚说了，这个流动性其实没有那么的容易啊。他们怎么翻上去啊？翻不上去啊。

[00:22:05] [主播]：他们什么都没有。

[00:22:06] [嘉宾]：他们什么都没有得到。

[00:22:07] [主播]：他们什么都没有得到。不能卖吗他们？

[00:22:08] [嘉宾]：他们怎么卖呢？

[00:22:09] [主播]：他应该，对，那其他股东不直接持有上市公司。

[00:22:12] [嘉宾]：关键是如果大家有关注这个交易结构的话，就是买买公司那个主体，他后面才是智源公司，然后再后面才是智源公司这个这些股东，对不对？

[00:22:24] [主播]：衡越往上。

[00:22:25] [嘉宾]：对，中间隔了几层，一层两层，至少两层。那中间隔两层意味着什么？就是意味着说还是一样，谁是上层的这个爸爸。上层的爸爸是谁？上层的爸爸是掌握上层公司公章和优盾的人，仅此而已。所以对他们来讲，他们做任何的退出动作，比如说我是智源的A股东，然后我现在说，你股票涨到100块了，我想退。他得怎么去退？他只能告诉邓总，说你接下来你控制了那个那个主体啊，那个子公司那个主体啊，卖点股份，然后这个钱回到这个主体，然后再回到智源，然后再进行定向分配。在中国境内公司法体系下，定向分配是很难的。所以你是没有任何的决定权。从我的角度理解，就邓总呢，他做了一个很好的交易，我觉得这个价格也不是特别夸张，因为这家公司其实还不错的，上委新材有有收入有利润，对不对？然后原有的业务相对稳定一些，也不算特别传统的一个公司。然后这个蔡老板他的持股比例也比较集中，然后也方便谈，因为持股比例比较分散，你跟很多人谈就比较费劲嘛。那我觉得是个好deal。但是这个好deal仅限于说我觉得邓总做了一个不错的一个安排和交易。但其实对于智源的其他股东角度来讲，我不能盖到就是点point是什么。我只能盖到point点在于如果说是把我话审成邓总去思考这个过程，我可能会跟股东讲一个逻辑啊。其实你你刚才提到已经提到了，就是说这个有些股民觉得这个智源会不会成为这个整个二级市场第一家巨升智能公司，是吧？中国这个市场不管是港股A股还是什么样的，那有没有关注一下其他竞争对手的进度呢？与树已经股改了吧，而且与树与树头上的股东其实也挺重磅的，我觉得不比这个智源的股东差。而且与树后面的股东很多都是国资，而且是很强的国资。从另外的角度来讲，就是现在审核的角度就是有几种方式你可以上市，比如你全都表硬，你这个10亿的收入，5亿的净利润，吧，这个现金流嘎嘎好，这个深版嘎嘎硬，这个没问题。你可以去IPO上市，这个监管看你对好这个孩子你过来上个市。还有一种方式叫邀请制。所以逻辑上来讲，谁拿到邀请，谁拿没有拿到邀请，我觉得通过这个交易其实大家能看出一二出来。

[00:24:40] [主播]：邀请是谁给的？给邀请的主体是谁？

[00:24:42] [嘉宾]：巨升智能的公司其实吸取了上一波这个教训。什么教训？在一市场疯狂融，逼迫自己到最后上不了市，退不了出。从A股的科创板转向港股，这是个很明显的信号，什么意思？不支持，觉得你做到这一步，然后融到这个层次的还没做出来，你凭什么得到我的邀请？这是很残忍的，那他又去港股，港股那你就看你自己了，你能不能发出来。港股都是机构投资人。那我觉得巨升智能这些公司其实它吸取了这些教训。在目前这种风风火火的这个情境下，所以他们需要在现在这个阶段尽快完成这一步。他们只需要完成这一步就可以了。所以在这种情况下，会出现什么情况？我自己的理解是想给一级市场再来一个牵引力。它可能会跟一级市场的后面的后续的所有的投资者都会说同样的故事。等我，我可以把这个事情装进去。意思上的投资者其实对二级没有那么了解的。

[00:25:34] [主播]：OK，那总结一下就是其实智源作为公司，它拿了比较大的一笔钱去收购上伟新材料的股份。这个一般来说是需要股东同意的，但具体怎么同意法这个具体的流程可能要看每个公司的股东协议。关于这个交易我还有一个疑问，就是为什么它是刚好买到29.99%，卡在30%下面？

[00:25:57] [嘉宾]：根据这个上市的这个并购重组办法，所谓的尊重这个二级是，因为二级是有这个相应的这个各种办法，管理制度去规范的。做这个披露，比如说你要去二级市场买一个公司，直接买啊，就是我有很多钱，我要买公司，你买买买，从1%买到5%，一旦到5%你是要公开举牌的。什么叫公开举牌？就是你得向市场释放公开的信息，说我接下来要做什么。这是一个这个规章制度要求。所以为什么买到29.99%而不是买到30%？因为一旦你要买到30%会触发这个并购重组的办法里面的要求，就是叫这个邀约收购，叫强制性邀约收购。逻辑是什么呢？其实大家在中国，不管是中国市场还是在外国市场，其实尊重这个监管，尤其在二级是要这个深刻理解的。什么叫深刻理解？就是不要去做一些这个超常规的举动，就正常的按照监管一步步的要求去做好你的披露工作就行。如果我买了30%，就一定要按照二级市场的要求，去向所有的股东发出邀约收购函。也说买掉所有股份，100%。

[00:27:01] [主播]：为什么超过30%就要变成收购100%？

[00:27:04] [嘉宾]：这是很有意思的，就是但其实监管的逻辑都很有逻辑的，很重要的逻辑是什么？保护这些中小股民。就是比如说上伟新材，这个大股东持股比例这么高，那逻辑上来讲，他可以跟任何一个人谈交易，对吧？然后谈完交易呢，他跑了，然后剩下的还有还有谁在公司里面？中小股民。比如说邓总呢，他买这家公司的20%多的股份，或者超过30%啊。超过30%是相当于他对公司有绝对的影响力，对不对？那接下来他要做什么？大家会不会害怕，对吧？如果说他就是要去一些不太那个啥的这个操作，那是不是会对中小股民的权益会会受到损害？比如公司从原来7块7毛8变成3块3毛8。所以呢，监管的角度一定是要保护中小股民了。那在这种情况下，他就会触发触发这个这个条件，叫邀约收购，叫全面邀约收购。那这种情况下，他相当于要支付只要在外面的股东，他愿意把自己受里面的股份，除了这个蔡总，蔡朝阳之外的股东，中小股民，他愿意按照7块7毛8卖给这个邓总，邓总就需要拿出钱来买这部分股份。

[00:28:07] [主播]：所以你的这个意思就是说他如果超过30%就是别人想卖，他就一定得买。

[00:28:12] [嘉宾]：是这个意思，叫全面邀约收购。所以他从监管的角度来讲是规避了30%这样的触发的这个条件。

[00:28:18] [主播]：关于这个交易本身我还有一个想问的，就是它的价格为什么是定在7块7毛8？

[00:28:23] [嘉宾]：是。是因为他当时的股价就是这个水平。

[00:28:25] [主播]：一般就会这么定？

[00:28:26] [嘉宾]：审核没有说固定的要求，就是说一定要是按照，如果按照监管的角度或者说这个重组管理办法的角度，没有说固定说你你你你你一定是7块7毛8或者7块6毛8什么的，其实双方协商。

[00:28:38] [主播]：就是它不需要是在当时的股价上下多少范围内浮动？就没这个规定是吗？

[00:28:42] [嘉宾]：一般意上是窗口指导要求说你不能差异太大嘛，对。

[00:28:46] [主播]：但他没有一个明文规定，他是个窗口指导。

[00:28:48] [嘉宾]：至少目前没有。就协转的话，它是双边的谈判嘛，对吧？按照7块7毛8的这个要约收购价格卖给我邓总，我也接。就这个逻辑。

[00:28:56] [主播]：你觉得关于这个交易本身有什么你想说但是我们还没有讨论到的吗？

[00:29:01] [嘉宾]：我自己的体感，我自己身深切体感，因为来之前我也看了一些媒体的朋友给我发过的一些文章，其实全都是关于智源的，其实我自己的体感，就讲我自己的感觉，二级市场跟一级市场是完全不一样的市场。就是为什么我最初开始说要尊重，尊重监管是一句话，第二尊重二级也是一句话。所以呢，二级市场跟看的东西，我看到太多智源的这个艾智源以后要做什么，所以大家我看股民也有一些表达说这个他们是按照智源最近一轮的融资的估值对吧？150亿，对，然后再除以一个每股有多少股数，然后算出每股单价的目标价是多少来着，我忘了130还是140吧。然后现在才13块，10倍。这个就有点像一级市场的表述方式。二级市场我自己，因为我自己之前也这个做过发行，做过并购重组，逻辑上来讲，包括这次的这个保健也是这个老东家做了保健嘛。

[00:29:55] [主播]：对，就是你以前工作过的华泰联合做的。

[00:29:57] [嘉宾]：对，逻辑上来讲是这样的，就是二级市场更看现金的流动，就是我如果看这个交易的话，我会看钱从哪里来。在二级市场的角度会看钱从哪里来，从谁的口袋掏出来，注入到哪个壳里面，然后哪个壳里面出钱给到了谁，谁拿了钱走。这是二级市场的逻辑。所以您说的要级联动，我我自己的体感，我会用另外的角度去理解所谓的要级联动。在这个交易里面，我自己的感觉是这个二级市场拿走了现金，这个包括蔡总和他的关联主体，然后一级市场拿现金买了梦想。二级市场又梦想换取了现金。这叫联动吗？我觉得也是联动，某种程度上。

