[00:00:00] （背景音乐：轻柔吉他演奏）
[10:38:29] [嘉宾]：对。因为这个画像特别明确。而且他们是小红书和Instagram的重度的意见领袖。他们愿意去share自己的全新的生活方式。但是我们现在已经交付将近一万台的设备了，然后陆陆续续有很多用户已经开始在使用我们产品的时候，我发现其实不是这样的。
[10:52:62] [主播]：哦。
[10:53:11] [嘉宾]：就是有各种各样的用户都会去使用这个产品。例如这个有日本比较核心的用户50%以上是50岁到70岁的女性用户。对，这个其实比较出乎我们的想象。第二个的话，就是像北美的话，有很多买来送给孩子的。
[11:10:49] [主播]：对，这个应该是。
[11:11:43] [嘉宾]：这是这是一大部分的用户。然后但是还是会有50%左右的我们之前定义的这群叫做都市女性。他们主要的生活方式就是围绕自己的办公桌。为什么我当时定义这个人权，就是发现我们从大学毕业到就是离开职场，可能中间会有30多年到40年，现在可能会越来越长。那这1段人生经历当中，你停留时长最长的一个区域是哪？当时我们就是调研了很多，最后发现就是办公桌。就是你会在一张桌子上用你最好的年华度过差不多30年到40年。因为如果你还还要在工作的话，你现在你主要的生产力工具主要是手机和电脑嘛。那还是一电脑为主啊。那基本上就是会在一个固定有电源的位置。那我们觉得这个位置，如果有一个像桌搭子一样的，能给你提供一定情绪价值，长期有在场的这么一个，小生物。我们觉得它的这个叫做陪伴的时间，肯定会特别长。然后它会保持一个良好的开机率。这是我们当时定义了这个人群的一个核心。但实际上你会发现，我们如果要做成一家叫未来宠物公司的话，宠物是不分年龄段的。它是全年齡的，它是全球化的。任何一个国家和地区对于宠物品种的挑选，可能有些差异，但是它一定是个全球市场。所以当时我们就会发现，做产品设计，它的洞察来源于你需要把第一批的产品交付出去，你可能需要经过两代到三代的打磨，最后才有可能成为一个特别爆款性的产品。所以做硬件是一个慢的事情。它没有办法跨越周期和你迭代的这种逻辑。就例如乔布斯做触屏手机，它也是迭代了至少三版之后，从3GS到iPhone4，可能才爆发了全球的这个，整个移动互联网的这种开端。所以我我们做这个产品，也是希望说先交付出去，然后逐渐去洞察用户。这可能是刚刚冯叔提到的，为什么会跟女性比较近，就是因为我们第一波的用户是全球的女性的消费者，然后对我们产品很包容，然后给我们提了很多迭代的意见，慢慢我可能才能矫正自己的一些直男思维。
[15:15:08] [主播]：我其实本来是给它，给它机会，让他老王卖瓜，卖几颗瓜出去。结果他就卖了一颗瓜，就转到他的这个宝贝女儿或女朋友身上去描述去了。那当然除了因为微软之外，他其实在非常多著名的，今天我们讲叫大型企业做了产品的相关负责人。那具体的这几个瓜我就不说了。最后一个瓜，反正是在字节负责整个VR眼镜，就是Pico这个项目的这个产品定义产品这个设计的负责人。那所以说他一路上的这个事情，其实简单来总结，就是从设计出身，如何跟工业、科技，乃至互联网相关的产品相结合，来把这两件事，我们叫，也叫交叉学科，发挥到极致。或者说，培训培养到极致。那这大概是那些所谓细节的来源。就是我的那个困惑，后来是在这被解决的。那今天我们绕回最先开始的话题，我先问第一个小事，只是为了应景一下，我们今天重新热闹的创业大街。你从字节跳动里出来，而且尤其还是一个我们叫，最早是个某种程度上的负责人，出来创业，当然碰上了今天的AI热潮，是这两件事的关系，就是先打算出来创业，又打算做硬件产品，然后正好能被AI这件是给激活一下，还是因为出来打算创业，又因为凑巧是个AI热潮，所以把这两件事合起来，打算做了一个创业公司。就这大概先后发生的过程是啥样的？
[16:40:47] [嘉宾]：嗯，OK。我其实是在2021年进的字节，然后2023年呆了两年，整整两年的时间。这个过程中，我其实进大厂有一个想法，就是我下为下一次创业积累足够的经验。因为进字节之前，刚刚其实没有说得特别清晰的那个职业路径啊。我是在微软时期，然后去了百度，然后在百度深度学习实验室，然后做了两年的，就是实验室级别的这种创新硬件的探索。然后后来就出来创业，跟我之前的leader，跟之前老板，然后一块出来创业，做了一家公司叫吾林科技。然后这家公司主要做儿童陪伴机器人，做了五年的时间。属于儿童陪伴硬件赛道的，现在应该还是算第一品牌。销量是最多，我们做了大几百万台的销量。然后这个过程中呢，遇到了一些，例如赛道的问题，例如行业增长天花板的问题，我才去到了字节。在字节相当于这两年我是蛰伏了一下，然后练了一些内功。其实这个内功来自于两个点。第一个点的话，就是我希望能够在大厂里面探索一下，有钱有预算充足的情况下，去做一个硬件是什么样的体验。那我也体验到可能在字节做过最最贵的硬件，做Pico4。我们花了好多十亿去做一个产品。这是我可能以前在创业公司不敢想象的。然后这一部分积累了很多经验。第二就是积累很多供应链的资源。我们现在可能用到像果链这样的供应链资源，也都那段经历。花了很多钱躺出来的一些这种坑。所以回到冯叔的第一个，刚才说的这个问题，就是我其实一直是想要创业的，从零到一去做创新的硬件，只是说在大厂去积累我为下一次的创业要补的那个短板。第二点的话，就是那个导火索来自于ChatGPT的3.0版本到3.5版本那个阶段吧。出来之后，我们感受到了可能未来AI的，机会一定来自于它的具身。可能那个具身不是双足人形啊，可能是各种各样的硬件载体，它带有跟这个世界交互的数据采，能力和它的行为反馈能力这样的硬件终端，一定会出现新的消费品的机会。所以当时我在进了字节一年之后，我就开始计划说，如果出来创业，我要选什么样的赛道，要做什么样的产品形态，是最适合我这十年的职业积累的，我的那个最长的长板，是个在一个什么样的产品上去发挥出来。所以当时就隐隐约感觉到，说做一个无用之美的情绪价值的东西，可能是我最选择最好的一个方向。然后就开始找外边的各种人聊。然后当时就遇到了我的这个早期的投资人，机构叫真知创投。然后他们联系到我之后说，哎我们已经成立了一个这样的雏形，然后我们也积累了很多的，如何让机器变变得更像生物的一些这样的技术积累。我们现在缺一个大产品进来帮我们去找落地方向。就那个时间节点刚好就双方就对上了。对上了之后我就用很快的速度做了决策。三个月的时间，把团队搭好之后，就进入到了这家创业公司，然后逐渐带着这个整个团队打磨了今天这个产品形态。所以是这么过来的。
[19:35:10] [主播]：明白。大家，这个从那个时候到现在，大家如果留意到，还是有一段时间的gap，里边有很多血泪史。一会我们让他说一说血泪史，我们都高兴一下，因为听见别人跌宕起伏的不幸遭遇，总是能平衡一些。那今天我们要讨论，我们同时到底先开始大话题。比如说，如果我们前年凑巧有机会，同一个时间点，如果我们2023年的靠近年底的时候在这录，我们应该讲大模型，对吧。如果2024年的这会儿我们在这入，在这录播客的话，理论上当时我们应该最热的是应该去讲具身智能机器人。这当然我们也投了好多。今天凑巧在这录，我们讲了陪伴机器人，或者叫AI硬件。那我的问题是从我们今天在讨论的话题来看，就是前年我们讨论大模型，去年我们讨论机器人或者Agent。今天我们来讨论AI，AI硬件。我的问题是，为什么是这个顺序，和为什么在这个不同的时间点，分别热了这几件事。就是为什么今年大家不再集中精力讨论，坐在这大模型这事了。那今年大家也许还有人在讨论具身智能机器人和这个我们叫Agent。那但是我们当然挑了一个新的话题是AI硬件。
[20:52:28] [嘉宾]：我来说一下我自己这十年对于行业，就是科技创新行业的一个规律的，大概的总结，特别是硬件。革命性的技术一定会有一个周期叫做底层的技术的爆发，这是一个窗口期。然后这个窗口期呢，可能回有大量的资本和创业者会去研究底层技术的一些革命性的东西。例如大模型，可能最开始是基于Transformer，然后有大量的数据去训练出了像OpenAI ChatGPT这样比较强的叫做底层的东西。然后这个东西一旦成熟之后，到了一定的曲线，它就不会再爆发式增长了。那我觉得第二个阶段就是说，这个技术应用到什么样的东西上有一个巨大的想象空间。就因为第一件事情，它其实不需要去找落地场景，它就是一个革命性的底层技术的爆发。第二件事情就需要讲一个巨大的故事。例如AI的大脑，如果只是做Agent的话，它可能就能替代人类的智商。这是一个很大的故事。第二个的话，就是AI去结合机器人，结合具身，它可以替代人所有的这种泛化的能力，然后他可以去做家务，可以进工厂。但是这件事情，可能就是刚刚这个冯叔说的第二个阶段。去年可能大量的投资人都是在看具身和Agent这两类的投资机会。那到现在的话，你会发现这两个故事越往后面走的话，越需要创业公司开始去实现商业价值。它要找商业的落地场景，它要具体去解决你作为一家创业公司各种各样实实在在的问题。例如你如何交付用户一个让他长时间可以去使用的产品。那这个时候，到了第三个阶段，就是说大量的创业者会基于前面的积累，去找具体的垂直场景去做应用。那我们现在就处于这个阶段。那反推另外一个故事的话，就像这个自动驾驶行业。最开始的时候，你的传统汽车是没有各种传感器去帮你采集数据的。那你要做到今天说我们可以达到L4的这种级别，说这个特斯拉，我们可以做到很智能，让车可以像机器人一样，在这个城市里边去完成所有的自主的服务和规划的话，那你前面一定要完成一件事情，就是说你一定让巨多的人去开这种带有传感器能力的新汽车。这个事情需要一段的时间。所以从最开始的话，底层技术的爆发应该从汽车的行业，应该来自于能源的革命，来自于这个电池的革命。然后才是慢慢的说，哎我我有一堆的这个，无论是说行业，还是说这个国家的政策力量也好，让所有的资本和创业团队可以开始去做我们把它叫做新势力造车的品牌，慢慢起来。然后交付一个让用户能正常去使用的有传感器的这样的车，然后它有大量的数据之后，才能谈到今天我们怎么去应用好这个AI，这个AI怎么能让我们在不同的场景里边去发挥巨大的价值。所以我觉得任何一个科技创新的行业都有这么三步。
[23:44:03] [主播]：对，就是其实我在这个，简单总结一下，大家当然在每一次的每一步的时候，都忘了过去一次也是这么经历的。大家都因为在当时热的时候，都会比较头脑发热，当然资本也会。就是每一个技术创新周期，都没有例外，都要经过三次。第一次是因为各种因素的积累，使得在技术层面出现了一个进步。这个进步是个小跃迁。我们把它叫做是一个小质变。然后这个小质变，因为是跟以前不一样的技术创新呢，所以大家在上面给予或给予了无数多的想象力，认为这就是革命最大的那一天终于来了。每一次都是。像上一次，不管是自动驾驶，不管是人脸识别当中的司小龙，大家也是这么认为的，或者再往前，卷积网络，就是CNN，或者再往前15年大数据，大家都是这么认为的。第一波，就是大家因为确实技术，由于过往资源的因素要素积累。比如说这次大模型，是因为历史上积累了30年的文本数据。就是就，把字变成了数据，积累了30多年。或者你要从美国来算，也许积累了40多年的互联网公开可及的文本数据，字。第二件事是算力有了明显进步。第三件事，在这个基础上，算法基于算力进步，能力提升，数据积累到足够多。所以我可以利用这些算力的小进步，积累出大模型。我想我大概讲清楚了。这大概是第一步。好，那每次科技创新的第一波都是这个技术变革本身。第二波，技术，因为你想它是耗尽了过去这些资源才有了这个技术进步。就是算力、数据、算法，累进才累积到了今天。有一个大模型的进步了。那你不可能短期之内再花40年，再找一个一样规模的东西，来让你再进步一次。所以再往下，那个进步就变成了偏线性一点，或者叫偏平缓一点，那个技术本身。因为你是吸尽了过去的气血，做了一次，好，这个要素迭代，小质变吧。然后再往下，大家就会有了这个技术进步，说，哎呀，那个技术本身既然开始正常迭代了，那我就要想一想，这个技术能干啥。于是我第二波就会去想一个最有想象力的事。那今天他讲了，Agent最有想象力，是因为我一想这能替代掉将来所有专业技能工作者。听起来是好事，也不知道是坏事。然后就变成了全点子牛丸，这是Agent。另外一件是，我发明了机器人之后，这个具身智能机器人跟人跟人一样，它能替代所有人干的工作，两个最大想象力，一软一硬。我想大家也能理解。当然不幸的事情是，最大想象力的应用，这句话，通常硬币的背面，就意味着是相对最不容易落地的。要不然它就很难具有最大想象力。因为你能拼命想，就意味着这件是今天不好证伪，或者叫也不好证实。所以会经历这端，因为你是从技术过渡出去的。那，然后再往下会过渡到谁呢？就会过渡到说，千行百业，今天能不能就用转上钱啊。今天能不能创造出新需求啊。能不能定义出新产品啊。定义出新产品，能不能立刻就有消费者买单啊。又回过头来，能不能赚到钱啊。那所以说，每一次的第三波，是这么。当然你从科技的本身来看，它也是个蔓延的过程。第一波是技术本身还在盒子里边。第二波，到了外围，稍微有点应用空间了。第三步，到了最外圈，跟大千世界接触起来，找到了落地。虽然不一定是最AI，但一定是相对新的技术，相对新的场景，相对新的应用，和相对新的能赚钱的方法。大概基本上每一次都是这么delivery的。就是每一次都是这么完成的。比如说我们拿自动驾驶举例子。先开始大家，大家可能了解或不了解。在2015年之前，我们去硅谷，肯定毫无疑问自动驾驶最牛的公司是Google。那时候Google还没分拆的这个Waymo。然后那认为是简直无比厉害，因为只有他有最多的车在外面跑。这是第一步。然后第二波呢，大家就开始觉得谁最厉害的，从2015年开始。我们先把中国创业公司先略过去哈，因为这个要评价具体公司敏感。第二波大家认为最厉害的，左手是Uber，右手是特斯拉。为啥呢？因为特斯拉造出来的车就已经上了这么多传感器。原来他也是投行的分析师，还有这么宣传的。说你看你将来买了特斯拉，他加了自动驾驶之后，你买车那钱都不是钱了，他没事干就出去帮你跑滴滴赚钱去了。所以说特斯拉。然后Uber，那也没问题，因为是全球当时最大的汽车调度运营网络。人一想，哎呀呀，如果所有的车都是自动驾驶，我又是最大的调度网络，那我岂不是超级赚钱，我连给司机分成都不需要了。好，那他们俩当时自动驾驶概念当中最贵的。然后再往下，大家才到说，哎呀，到底谁上了车呀？到底谁装了量产车呀？谁跟哪几间注明车企合作了呀？当然放到中国，你也看到说，我们还得先做L2再做L3。L3刚刚开始公布允许上路L3的相关技术。那，所以你发现它最后落地的时候，还是离我们原来想的有点差距。因为自动驾驶从2014年第一波巨热的泡沫开始，到今天已经11年了。我们还才走到L2到L3这个过程。那大概你拿自动驾驶来看，它也是这三波。甚至你要去看外面我，我刚才打比方。你外面跑得好的，还有一些叫什么新时期的机器人，就是那种在园区里给你送盒饭的那个机器人。在一个封闭场景。当然用得最好的是在我们什么上海港，是在港区和矿场里那些全封闭无人场景当中的自动驾驶。好，那你就会发现说，它怎么从技术创新一步一步走到落地的？这三波投资热潮。那每一步都一样。所以刚才我们也讲了，基本上你从道理上来看，为什么我们23年的时候做这，应该讲大模型。24年做这的时候，我们就应该讲具身智能机器人。今天我们做这的时候，凑巧我们就讲到了它的这个创新的所谓叫AI陪伴产品。好，我们再回过头来，讲另外一个话题。既然我们讲过了科技创新这件事。那所以说，这块就出现了一个小小的命题。那其实你发现AI和硬件之间的交集的第一件事，是来自于怎么把AI落地下去。当然你说AI落地在第二波不有俩嘛，一个软的一个硬的。今天我们讨论的是偏硬的这边。没问题。软的那边，也会有自己落地的方法。我们今天先不讨论。那今天我们讨论的第一个话题，过了，为什么今天我们做这说这化？因为已经到了第三步了。因为你到了开始赚钱了。因为你告诉我，中国的AI具身智能机器人，我们也投了很多，他们的表现也很好，估值也很高。中国已经把AI具身智能机器人往前多推了一步了，非常厉害。因为我跟我们被投的机器人企业讲，去年本来应该特斯拉去公布宣布他最新的那个Optimus的那一个版本下场多少台和多大的订单。但是因为之前四个月，马斯克去忙点政治上的事，所以那个就跳票了。那因为他跳票了，本来我以为到那这个热度就应该换到咱第三波上了。结果后来为什么没有停呢，是因为咱春晚联欢晚会出了个跳舞的机器人，然后接下来我们的民营企业座谈会和中国的今年刚开完的两会工作报告里，把智能机器人写进了这个里边。所以中国在特斯拉跳票之后，单独把具身智能机器人往上又推了一格，就是使得大家的关注度和资源的聚集度又推了一格。但是你今天它都已经写两会报告里了，我想你也不太容易找到一个什么方法，使得这件是的热度和关注度能再上个台阶了吧。你说你还能把它写哪儿能让这件事再上个台阶。那所以说，为什么该轮到第三波，就在这。那好，既然我们讲到到第三波，我们就讲到另外一个问题。为什么是硬件？我不知道这个事你怎么看？当然从硬件开始创业，肯定是你比较擅长和喜欢的，因为它里边有很多产品设计，有很多其他的具体的细节可以去delivery。但是既然有一软一硬的话，只从抛弃你喜欢的角度，为什么你觉得这个有了AI或者说有了AI加硬件之后，这件是能出现，并且跟以前不同。就为什么要硬件这个形态？
[31:56:49] [嘉宾]：OK。其实冯叔提的这个问题，是这个行业里，大家都在讨论的那个问题。就是我们是用现有的，可见的AI，塞到一个硬件里边，去找场景，还是说我们先去把场景做好，然后为它这个产品能够逐渐产生AI，去做准备。这其实是两个方式。我们为什么要从硬件开始着手呢？当然排除掉刚才冯叔说的我擅长，我喜欢之外，还有一个很大的问题就是说，你的硬件在今天往后推五到十年，真正能够让它在智能化这件事情上产生巨大的价值的前提是，你需要有数据。就这个数据现在，大家可以看到，就是所有的具身智能，它的这个叫做，类似于人的跟这个世界互动的这种真实数据是没有的，它是没有固定数据集的。要么就是通过人，去自己去这个采数据。要么呢，就是通过仿制去核成数据。但是你想啊，我们现在还没有这么多的具身智能，在真实场景里面用起来的这种音。
[32:56:42] [主播]：你看它表示赞同，他晃了几下。
